中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac5:60ea:1846::26b:8a,US,Los Angeles,隧道,17 ms,62 Mbps,7962 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,58 ms,360 Mbps,46080 kB/s
192.9.158.188,443,2a09:bac1:76c0:1cf0::1d2:19,US,San Jose,隧道,32 ms,170 Mbps,21811 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,34 ms,1048 Mbps,134144 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,67 Mbps,8606 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,37 ms,536 Mbps,68710 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,352 Mbps,45158 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,19 ms,638 Mbps,81715 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,36 ms,920 Mbps,117760 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,48 ms,856 Mbps,109568 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,64 ms,572 Mbps,73318 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,31 ms,342 Mbps,43827 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,57 ms,91 Mbps,11673 kB/s
132.226.31.178,443,2a09:bac5:60eb:183c::26a:56,US,Los Angeles,隧道,24 ms,44 Mbps,5751 kB/s
47.88.93.96,443,47.251.149.53,US,San Jose,隧道,33 ms,6 Mbps,849 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,76 ms,283 Mbps,36249 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,36 ms,356 Mbps,45670 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,37 ms,569 Mbps,72908 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,27 ms,936 Mbps,119808 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,39 ms,535 Mbps,68505 kB/s
152.70.88.98,443,2a09:bac5:4753:1a14::299:38,KR,Seoul,隧道,136 ms,40 Mbps,5166 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,32 ms,58 Mbps,7453 kB/s
150.136.87.192,443,150.136.87.192,US,Boston,中转,74 ms,51 Mbps,6541 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,200 ms,483 Mbps,61849 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,137 ms,132 Mbps,16998 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,191 ms,36 Mbps,4641 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,53 ms,976 Mbps,124928 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,63 ms,311 Mbps,39833 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,129 ms,45 Mbps,5844 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,161 ms,100 Mbps,12902 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,65 ms,1 Mbps,158 kB/s
152.67.44.30,443,152.67.44.30,BR,S
