中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,454 Mbps,58163 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,15 ms,55 Mbps,7129 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,960 Mbps,122880 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,51 ms,417 Mbps,53452 kB/s
129.146.46.164,443,129.146.46.164,267 Mbps,34201 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,17 ms,84 Mbps,10854 kB/s
18.216.55.100,443,18.216.55.100,US,Indianapolis,中转,37 ms,257 Mbps,32972 kB/s
35.197.23.75,443,35.212.191.179,US,Seattle,隧道,56 ms,493 Mbps,63180 kB/s
35.230.79.26,443,35.212.191.179,US,Seattle,隧道,51 ms,508 Mbps,65024 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,53 ms,518 Mbps,66355 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,62 ms,413 Mbps,52940 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,56 ms,479 Mbps,61337 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,63 ms,428 Mbps,54886 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,51 ms,499 Mbps,63897 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,132 ms,193 Mbps,24780 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,70 ms,409 Mbps,52428 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,202 Mbps,25907 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,114 ms,48 Mbps,6257 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,117 ms,29 Mbps,3752 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,140 ms,50 Mbps,6407 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,133 ms,267 Mbps,34201 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,112 ms,194 Mbps,24883 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,82 ms,473 Mbps,60620 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,55 ms,43 Mbps,5585 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,70 ms,47 Mbps,6108 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,186 ms,116 Mbps,14848 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,150 ms,136 Mbps,17510 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,146 ms,173 Mbps,22220 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,98 ms,410 Mbps,52531 kB/s
146.56.129.186,443,146.56.129.186,KR,Seoul,中转,204 ms,71 Mbps,9162 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,129 ms,97 Mbps,12492 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,145 ms,6 Mbps,785 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,218 ms,2 Mbps,360 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,182 ms,101 Mbps,13004 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,219 ms,0 Mbps,25 kB/s
8.212.48.236,443,47.76.21.114,HK,Hong Kong,隧道,251 ms,43 Mbps,5506 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,220 ms,38 Mbps,4864 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,212 ms,73 Mbps,9355 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,227 ms,92 Mbps,11776 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,108 ms,44 Mbps,5734 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,42 ms,552 Mbps,70758 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,195 ms,36 Mbps,4672 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,259 ms,8 Mbps,1092 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,155 ms,78 Mbps,10035 kB/s
158.101.141.253,443,158.101.141.253,JP,Tokyo,中转,244 ms,62 Mbps,7966 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,257 ms,1 Mbps,131 kB/s
8.219.8.89,443,8.219.142.198,SG,Singapore,隧道,274 ms,50 Mbps,6504 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,111 ms,44 Mbps,5726 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,199 ms,38 Mbps,4895 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,233 ms,49 Mbps,6390 kB/s
193.122.62.253,443,2606:f240:f00:dd8d:0:dac6:d34a:153,US,Frankfurt,隧道,151 ms,104 Mbps,13414 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,250 ms,66 Mbps,8507 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,150 ms,44 Mbps,5733 kB/s
47.90.141.204,443,91.149.239.252,US,Los Angeles,隧道,32 ms,25 Mbps,3313 kB/s
8.219.95.212,443,8.219.116.219,SG,Singapore,隧道,273 ms,44 Mbps,5720 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,71 ms,254 Mbps,32563 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,193 ms,88 Mbps,11264 kB/s
168.138.149.17,443,168.138.149.17,BR,S
