中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.138.241,443,192.9.138.241,US,San Jose,中转,73 ms,261 Mbps,33484 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,86 ms,357 Mbps,45772 kB/s
35.197.23.75,443,35.212.231.200,US,Seattle,隧道,68 ms,367 Mbps,47001 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,20 ms,50 Mbps,6464 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,384 Mbps,49254 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,107 ms,43 Mbps,5624 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,100 ms,260 Mbps,33382 kB/s
35.230.79.26,443,35.212.231.200,US,Seattle,隧道,74 ms,317 Mbps,40652 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,9 ms,363 Mbps,46489 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,258 Mbps,33075 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,92 ms,250 Mbps,32051 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,64 ms,569 Mbps,72908 kB/s
129.146.7.98,443,2a09:bac5:60ea:1173::1bd:d5,US,Los Angeles,隧道,109 ms,69 Mbps,8946 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,14 ms,72 Mbps,9335 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,112 ms,347 Mbps,44441 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,72 ms,461 Mbps,59084 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,29 ms,451 Mbps,57753 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,56 ms,565 Mbps,72396 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,86 ms,268 Mbps,34304 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,191 Mbps,24473 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,73 ms,340 Mbps,43520 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,116 ms,216 Mbps,27750 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,69 ms,254 Mbps,32563 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,89 ms,212 Mbps,27136 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,71 ms,46 Mbps,5942 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,46 ms,57 Mbps,7403 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,64 ms,0 Mbps,96 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,21 ms,45 Mbps,5869 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,167 ms,114 Mbps,14643 kB/s
129.146.168.102,443,2a09:bac1:7680:e18::c:37e,US,Los Angeles,隧道,79 ms,41 Mbps,5349 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,98 ms,42 Mbps,5503 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,97 ms,260 Mbps,33382 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,77 ms,325 Mbps,41676 kB/s
158.101.203.1,443,2a0b:21c0:1007:1c7:0:dd9e:1c98:ad9b,DE,Frankfurt,隧道,102 ms,232 Mbps,29798 kB/s
144.21.43.21,443,2a0b:21c0:1007:c9:0:4b9d:953a:f9ba,DE,Frankfurt,隧道,101 ms,135 Mbps,17305 kB/s
152.67.156.141,443,2a0b:21c0:1007:c8:0:acb3:101b:e52,DE,Frankfurt,隧道,101 ms,115 Mbps,14745 kB/s
141.147.106.160,443,163.123.193.8,DE,Frankfurt,隧道,100 ms,212 Mbps,27238 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,109 ms,69 Mbps,8868 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,93 ms,44 Mbps,5742 kB/s
143.47.191.195,443,2a0b:21c0:100a:1b3:0:1d0b:66b:6f39,DE,Frankfurt,隧道,108 ms,144 Mbps,18432 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,120 ms,165 Mbps,21196 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,187 ms,104 Mbps,13414 kB/s
154.23.240.232,443,154.23.240.232,US,Los Angeles,中转,94 ms,43 Mbps,5606 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,201 ms,72 Mbps,9258 kB/s
64.110.89.180,443,2607:a400:a:6c:0:22d3:8fcb:5717,US,Los Angeles,隧道,202 ms,72 Mbps,9228 kB/s
144.21.63.201,443,2a0b:21c0:1007:cb:0:bf95:a92b:2bc2,DE,Frankfurt,隧道,108 ms,127 Mbps,16281 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,223 ms,2 Mbps,308 kB/s
8.219.132.34,443,8.222.236.107,SG,Singapore,隧道,265 ms,48 Mbps,6258 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,186 ms,41 Mbps,5261 kB/s
146.56.148.45,443,2607:a400:a:6c:0:8b55:e4d1:ee81,US,Los Angeles,隧道,208 ms,80 Mbps,10342 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,179 ms,35 Mbps,4495 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,226 ms,37 Mbps,4852 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,241 ms,62 Mbps,7957 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,216 ms,84 Mbps,10854 kB/s
146.56.137.65,443,2607:a400:a:6c:0:52e1:1054:4afd,US,Los Angeles,隧道,232 ms,80 Mbps,10240 kB/s
193.123.81.105,443,193.123.81.105,AE,Marseille,中转,215 ms,51 Mbps,6569 kB/s
140.83.61.244,443,140.83.61.244,JP,Osaka,中转,220 ms,32 Mbps,4139 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,237 ms,10 Mbps,1395 kB/s
149.129.8.215,443,47.88.55.210,,San Jose,隧道,0 ms,1 Mbps,204 kB/s
140.238.5.32,443,140.238.5.32,KR,Seoul,中转,207 ms,32 Mbps,4126 kB/s
141.148.220.141,443,2a09:bac1:3680:18::243:1a,IN,Mumbai,隧道,191 ms,36 Mbps,4699 kB/s
146.56.168.75,443,2607:a400:a:6c:0:96b:fb99:7052,US,Los Angeles,隧道,226 ms,59 Mbps,7650 kB/s
8.212.48.236,443,47.76.21.97,HK,Hong Kong,隧道,224 ms,68 Mbps,8754 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,235 ms,38 Mbps,4871 kB/s
152.70.234.88,443,2607:a400:a:16b:0:5f93:825c:304e,US,Los Angeles,隧道,243 ms,57 Mbps,7305 kB/s
8.219.73.31,443,8.222.222.65,SG,Singapore,隧道,268 ms,54 Mbps,6915 kB/s
152.70.253.62,443,2607:a400:a:6b:0:fc1e:f273:c0d9,US,Los Angeles,隧道,267 ms,73 Mbps,9426 kB/s
131.186.46.80,443,2602:ffe4:407:20da:0:677:4caa:ac5b,SG,Singapore,隧道,250 ms,59 Mbps,7591 kB/s
130.162.154.224,443,2607:a400:a:6c:0:f92:ce67:189a,US,Los Angeles,隧道,255 ms,61 Mbps,7811 kB/s
146.56.171.251,443,107.151.176.66,US,Los Angeles,隧道,256 ms,78 Mbps,10035 kB/s
146.56.134.153,443,2607:a400:a:16b:0:db8f:da4e:7534,US,Los Angeles,隧道,247 ms,58 Mbps,7540 kB/s
158.178.238.239,443,104.28.254.47,SG,Singapore,隧道,280 ms,4 Mbps,548 kB/s
132.226.18.166,443,2607:a400:a:6c:0:b4c2:c604:8fed,US,Los Angeles,隧道,264 ms,61 Mbps,7834 kB/s
8.219.196.46,443,8.219.142.198,SG,Singapore,隧道,279 ms,46 Mbps,6004 kB/s
130.162.136.17,443,2607:a400:a:6b:0:38:dd67:849b,US,Los Angeles,隧道,251 ms,54 Mbps,6934 kB/s
8.219.156.237,443,47.236.58.234,SG,Singapore,隧道,262 ms,46 Mbps,5898 kB/s
138.2.21.123,443,2602:ffe4:407:21d9:0:2b53:16ef:c50,SG,Singapore,隧道,249 ms,47 Mbps,6105 kB/s
146.56.173.29,443,107.151.176.66,US,Los Angeles,隧道,240 ms,64 Mbps,8231 kB/s
64.110.81.119,443,2607:a400:a:6c:0:f67b:ae8f:d598,US,Los Angeles,隧道,223 ms,70 Mbps,9004 kB/s
168.138.165.169,443,168.138.165.169,SG,Singapore,中转,261 ms,26 Mbps,3419 kB/s
8.219.118.182,443,47.236.58.234,SG,Singapore,隧道,272 ms,46 Mbps,6009 kB/s
140.83.39.231,443,2602:ffe4:407:21d9:0:dd42:43c1:6be8,SG,Singapore,隧道,268 ms,45 Mbps,5839 kB/s
150.230.221.148,443,150.230.221.148,JP,Tokyo,中转,440 ms,60 Mbps,7701 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,272 ms,0 Mbps,26 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,603 ms,0 Mbps,127 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,709 ms,1 Mbps,195 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,53 ms,7 Mbps,956 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,49 ms,71 Mbps,9163 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,134 ms,43 Mbps,5614 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,114 ms,44 Mbps,5646 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,96 ms,127 Mbps,16281 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,194 ms,90 Mbps,11571 kB/s
132.226.31.178,443,2a09:bac5:60ec:1173::1bd:111,US,Los Angeles,隧道,89 ms,47 Mbps,6084 kB/s
138.3.253.128,443,2a0b:21c0:100a:1b1:0:482d:c9aa:fc,DE,Frankfurt,隧道,90 ms,219 Mbps,28057 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,26 ms,8 Mbps,1108 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,95 ms,213 Mbps,27340 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,225 ms,35 Mbps,4585 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,145 ms,256 Mbps,32870 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,100 ms,36 Mbps,4717 kB/s
146.56.151.167,443,2607:a400:a:6c:0:8f0b:5dc6:f016,US,Los Angeles,隧道,231 ms,76 Mbps,9730 kB/s
146.56.171.129,443,107.151.176.166,US,Los Angeles,隧道,210 ms,77 Mbps,9920 kB/s
129.150.51.134,443,129.150.51.134,SG,Singapore,中转,242 ms,62 Mbps,7952 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,200 ms,35 Mbps,4606 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,73 ms,44 Mbps,5680 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,117 ms,80 Mbps,10240 kB/s
140.238.4.142,443,2607:a400:a:16b:0:7887:bc8d:ad3e,US,Los Angeles,隧道,246 ms,64 Mbps,8319 kB/s
8.222.173.157,443,8.222.210.246,SG,Singapore,隧道,302 ms,54 Mbps,6933 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,195 ms,90 Mbps,11571 kB/s
8.219.187.251,443,47.236.1.53,SG,Singapore,隧道,297 ms,52 Mbps,6738 kB/s
193.122.1.139,443,2a0b:21c0:100a:1b6:0:3c0a:3eae:a71,DE,Frankfurt,隧道,123 ms,237 Mbps,30412 kB/s
146.56.106.158,443,2603:c024:11:f6b:5f61:926c:1be0:380,KR,Seoul,隧道,219 ms,39 Mbps,5089 kB/s
131.186.30.195,443,2607:a400:a:6c:0:d210:b75:531c,US,Los Angeles,隧道,278 ms,64 Mbps,8241 kB/s
