中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac5:60ec:1846::26b:b4,US,Los Angeles,隧道,21 ms,105 Mbps,13516 kB/s
34.82.76.253,443,34.168.189.228,US,Seattle,隧道,59 ms,904 Mbps,115712 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,68 ms,368 Mbps,47206 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,25 ms,644 Mbps,82534 kB/s
35.197.23.75,443,35.212.143.193,US,Seattle,隧道,22 ms,920 Mbps,117760 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,13 ms,651 Mbps,83353 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,123 ms,47 Mbps,6106 kB/s
129.146.46.164,443,129.146.46.164,332 Mbps,42598 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,174 ms,44 Mbps,5711 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,9 ms,1488 Mbps,190464 kB/s
35.230.79.26,443,35.212.143.193,US,Seattle,隧道,43 ms,880 Mbps,112640 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,5 ms,904 Mbps,115712 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,37 ms,72 Mbps,9253 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,37 ms,220 Mbps,28262 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:114,KR,Seoul,隧道,142 ms,138 Mbps,17715 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,205 Mbps,26316 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,69 ms,462 Mbps,59187 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,74 ms,46 Mbps,5965 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,74 ms,48 Mbps,6270 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,70 ms,317 Mbps,40652 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,68 ms,301 Mbps,38604 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,126 ms,197 Mbps,25292 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,117 ms,160 Mbps,20582 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,156 ms,39 Mbps,5064 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,107 ms,240 Mbps,30822 kB/s
143.47.176.251,443,2606:f240:f00:83a7:0:2adf:b8c2:720e,US,Frankfurt,隧道,166 ms,98 Mbps,12595 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,118 ms,37 Mbps,4858 kB/s
129.154.197.32,443,107.151.176.202,US,Los Angeles,隧道,154 ms,148 Mbps,18944 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,166 ms,164 Mbps,21094 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,151 ms,49 Mbps,6273 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,163 ms,128 Mbps,16486 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,167 ms,126 Mbps,16179 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,162 ms,161 Mbps,20684 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,143 ms,148 Mbps,18944 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,136 ms,43 Mbps,5534 kB/s
130.162.144.191,443,2a09:bac1:3f40::299:3a,KR,Seoul,隧道,167 ms,40 Mbps,5186 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,160 ms,41 Mbps,5266 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,150 ms,124 Mbps,15872 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,199 ms,3 Mbps,430 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,166 ms,40 Mbps,5247 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,140 ms,142 Mbps,18227 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,164 ms,42 Mbps,5396 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,157 ms,41 Mbps,5249 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,234 ms,54 Mbps,7027 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,200 ms,3 Mbps,469 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,147 ms,5 Mbps,746 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,189 ms,33 Mbps,4237 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,255 ms,25 Mbps,3213 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,198 ms,19 Mbps,2433 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,401 ms,0 Mbps,24 kB/s
