中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,58 ms,281 Mbps,36044 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,16 ms,1088 Mbps,139264 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,39 ms,64 Mbps,8254 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,52 ms,504 Mbps,64614 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,455 Mbps,58265 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,396 Mbps,50688 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,52 ms,494 Mbps,63283 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,70 ms,576 Mbps,73728 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,52 ms,445 Mbps,57036 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,52 ms,48 Mbps,6166 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,49 ms,473 Mbps,60620 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,112 ms,220 Mbps,28262 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,24 ms,67 Mbps,8675 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,107 ms,51 Mbps,6556 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,18 ms,572 Mbps,73318 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,59 ms,5 Mbps,718 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,87 ms,255 Mbps,32665 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,71 ms,468 Mbps,60006 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,192 Mbps,24576 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,63 ms,322 Mbps,41267 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,109 ms,36 Mbps,4708 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,19 ms,86 Mbps,11059 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,114 ms,37 Mbps,4815 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,114 ms,214 Mbps,27443 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,191 ms,108 Mbps,13824 kB/s
130.61.23.77,443,130.61.23.77,DE,176 Mbps,22630 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,125 ms,38 Mbps,4962 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,125 ms,164 Mbps,21094 kB/s
144.22.252.124,443,144.22.252.124,BR,S
