中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,430 Mbps,55091 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,29 ms,356 Mbps,45670 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,37 ms,2456 Mbps,314368 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,28 ms,912 Mbps,116736 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,677 Mbps,86732 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,18 ms,54 Mbps,7009 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,23 ms,420 Mbps,53862 kB/s
192.9.138.241,443,192.9.138.241,1632 Mbps,208896 kB/s
192.9.138.241,,,隧道,0 ms,null Mbps,null kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,23 ms,880 Mbps,112640 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,53 ms,672 Mbps,86118 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,3 ms,672 Mbps,86118 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,131 ms,36 Mbps,4664 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,13 ms,113 Mbps,14540 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,22 ms,396 Mbps,50688 kB/s
132.226.31.178,443,2a09:bac5:60eb:1846::26b:30,US,Los Angeles,隧道,79 ms,50 Mbps,6446 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,340 Mbps,43520 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,185 Mbps,23756 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,32 ms,856 Mbps,109568 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::4:2f2,US,San Jose,隧道,11 ms,217 Mbps,27852 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,151 ms,50 Mbps,6505 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,173 ms,61 Mbps,7861 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,161 ms,44 Mbps,5686 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,120 Mbps,15360 kB/s
152.70.248.96,443,2a09:bac1:3f20:90::22:110,KR,Seoul,隧道,130 ms,2 Mbps,325 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,158 ms,44 Mbps,5753 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,62 ms,378 Mbps,48435 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,159 ms,112 Mbps,14336 kB/s
130.162.143.219,443,130.162.143.219,KR,Seoul,中转,134 ms,46 Mbps,5963 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,161 ms,39 Mbps,5023 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,176 ms,44 Mbps,5739 kB/s
152.70.232.151,443,152.70.232.151,KR,Seoul,中转,133 ms,3 Mbps,467 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,159 ms,102 Mbps,13107 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,162 ms,90 Mbps,11571 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,130 ms,40 Mbps,5212 kB/s
141.144.201.85,443,2a0b:21c0:100a:1f9:0:59d5:72ca:209e,DE,Frankfurt,隧道,158 ms,105 Mbps,13516 kB/s
131.186.57.111,443,131.186.57.111,JP,Tokyo,中转,150 ms,29 Mbps,3755 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,160 ms,37 Mbps,4793 kB/s
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,159 ms,92 Mbps,11776 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,164 ms,20 Mbps,2683 kB/s
146.56.41.215,443,146.56.41.215,KR,Seoul,中转,133 ms,120 Mbps,15462 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,150 ms,100 Mbps,12902 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,145 ms,133 Mbps,17100 kB/s
138.2.122.191,443,138.2.122.191,KR,Seoul,中转,130 ms,46 Mbps,5931 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,153 ms,120 Mbps,15360 kB/s
158.178.238.239,443,104.28.222.43,SG,Singapore,隧道,168 ms,36 Mbps,4666 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,130 ms,148 Mbps,18944 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,113 Mbps,14540 kB/s
152.69.222.9,443,152.69.222.9,SG,Singapore,中转,168 ms,34 Mbps,4363 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,162 ms,108 Mbps,13824 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,143 ms,144 Mbps,18432 kB/s
47.90.141.204,443,91.149.239.252,US,Los Angeles,隧道,72 ms,29 Mbps,3721 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,130 ms,136 Mbps,17510 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,130 ms,20 Mbps,2644 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,159 ms,36 Mbps,4664 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,159 ms,104 Mbps,13312 kB/s
193.122.125.223,443,193.122.125.223,KR,Seoul,中转,137 ms,128 Mbps,16486 kB/s
152.70.246.171,443,2602:ffe4:407:20d9:0:3240:36da:4ade,SG,Singapore,隧道,221 ms,79 Mbps,10137 kB/s
141.147.161.58,443,141.147.161.58,JP,Tokyo,中转,156 ms,102 Mbps,13107 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,74 ms,50 Mbps,6503 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,170 ms,95 Mbps,12185 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,189 ms,28 Mbps,3686 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,159 ms,53 Mbps,6829 kB/s
152.70.97.78,443,152.70.97.78,JP,Tokyo,中转,151 ms,102 Mbps,13107 kB/s
141.147.63.196,443,98.98.156.34,DE,Frankfurt,隧道,159 ms,93 Mbps,11980 kB/s
