中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,161 ms,38 Mbps,4972 kB/s
141.147.4.151,443,2a0b:21c0:1007:c8:0:c671:8939:6536,DE,Frankfurt,隧道,145 ms,120 Mbps,15360 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,136 ms,124 Mbps,15872 kB/s
8.222.158.41,443,47.236.58.234,SG,Singapore,隧道,175 ms,50 Mbps,6524 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,144 ms,28 Mbps,3624 kB/s
8.222.245.223,443,8.222.207.55,SG,Singapore,隧道,180 ms,60 Mbps,7784 kB/s
8.219.203.165,443,8.222.222.65,SG,Singapore,隧道,175 ms,84 Mbps,10752 kB/s
64.110.79.188,443,64.110.79.188,KR,Seoul,中转,134 ms,120 Mbps,15462 kB/s
141.148.237.161,443,2a0b:21c0:1007:1c9:0:5336:b082:9a86,DE,Frankfurt,隧道,212 ms,136 Mbps,17408 kB/s
138.2.66.92,443,138.2.66.92,SG,Singapore,中转,174 ms,96 Mbps,12390 kB/s
47.245.119.51,443,8.219.142.198,SG,Singapore,隧道,176 ms,97 Mbps,12492 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,156 ms,109 Mbps,14028 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,380 ms,52 Mbps,6769 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,155 ms,42 Mbps,5503 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,166 ms,1 Mbps,151 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,142 ms,122 Mbps,15667 kB/s
8.222.194.24,443,8.219.96.61,SG,Singapore,隧道,175 ms,90 Mbps,11571 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,240 ms,61 Mbps,7926 kB/s
8.219.233.201,443,8.219.96.61,SG,Singapore,隧道,176 ms,92 Mbps,11776 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,223 ms,25 Mbps,3316 kB/s
8.219.78.53,443,47.236.58.234,SG,Singapore,隧道,179 ms,56 Mbps,7195 kB/s
140.83.61.244,443,140.83.61.244,JP,Los Angeles,中转,155 ms,18 Mbps,2404 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,222 ms,31 Mbps,4062 kB/s
47.57.14.118,443,47.254.95.194,US,San Jose,隧道,192 ms,1 Mbps,129 kB/s
130.162.144.191,443,2a09:bac5:4754:1a14::299:21,KR,Seoul,隧道,134 ms,39 Mbps,5086 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,356 Mbps,45670 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,184 ms,62 Mbps,8019 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,133 ms,94 Mbps,12083 kB/s
8.222.135.206,443,47.245.125.52,SG,Singapore,隧道,176 ms,83 Mbps,10649 kB/s
132.226.31.178,443,2a09:bac1:76a0:e18::1bd:10a,US,Los Angeles,隧道,45 ms,19 Mbps,2551 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,141 ms,33 Mbps,4306 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,132 ms,139 Mbps,17817 kB/s
