中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,60 ms,214 Mbps,27443 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,388 Mbps,49664 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,17 ms,59 Mbps,7596 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,128 ms,128 Mbps,16486 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,1232 Mbps,157696 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,183 Mbps,23449 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,45 ms,607 Mbps,77721 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,23 ms,864 Mbps,110592 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,343 Mbps,43929 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,21 ms,616 Mbps,78950 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,232 ms,8 Mbps,1119 kB/s
192.9.138.241,443,192.9.138.241,1880 Mbps,240640 kB/s
192.9.138.241,,,隧道,0 ms,null Mbps,null kB/s
129.146.168.102,443,104.28.205.111,US,Los Angeles,隧道,26 ms,54 Mbps,7028 kB/s
141.147.84.57,443,98.98.166.170,US,Frankfurt,隧道,156 ms,88 Mbps,11366 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,260 Mbps,33382 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,26 ms,678 Mbps,86835 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,140 ms,111 Mbps,14233 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,128 ms,103 Mbps,13209 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,24 ms,735 Mbps,94105 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,162 ms,199 Mbps,25497 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,61 ms,24 Mbps,3096 kB/s
130.162.144.191,443,2a09:bac1:3f00:90::22:119,KR,Seoul,隧道,135 ms,38 Mbps,4867 kB/s
130.162.52.206,443,2a0b:21c0:100a:1b0:0:cb7a:9c1e:4813,DE,Frankfurt,隧道,159 ms,90 Mbps,11571 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,133 ms,34 Mbps,4461 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,128 ms,112 Mbps,14438 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,146 ms,52 Mbps,6665 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,136 ms,7 Mbps,904 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,134 ms,105 Mbps,13516 kB/s
152.67.149.10,443,2606:f240:f00:a683:0:da42:8f6e:dade,US,Frankfurt,隧道,155 ms,108 Mbps,13824 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,170 ms,548 Mbps,70246 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,34 Mbps,4438 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,174 ms,40 Mbps,5122 kB/s
193.122.125.223,443,193.122.125.223,KR,Seoul,中转,133 ms,123 Mbps,15769 kB/s
150.230.63.93,443,150.230.63.93,,colo.txt:Osaka,中转,0 ms,4 Mbps,631 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,164 ms,57 Mbps,7343 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,129 ms,42 Mbps,5411 kB/s
155.248.187.211,443,155.248.187.211,JP,Tokyo,中转,215 ms,15 Mbps,1966 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,65 ms,249 Mbps,31948 kB/s
138.2.66.92,443,138.2.66.92,SG,Singapore,中转,172 ms,83 Mbps,10649 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,2 Mbps,379 kB/s
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,225 ms,34 Mbps,4425 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,62 ms,50 Mbps,6432 kB/s
8.222.128.17,443,47.236.58.234,SG,Singapore,隧道,170 ms,98 Mbps,12595 kB/s
8.219.79.79,443,8.222.207.55,SG,Singapore,隧道,171 ms,93 Mbps,11980 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,133 ms,140 Mbps,18022 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,158 ms,44 Mbps,5721 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,172 ms,42 Mbps,5378 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,169 ms,41 Mbps,5259 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,67 ms,46 Mbps,6013 kB/s
143.47.225.238,443,2a0b:21c0:1007:1c7:0:5e51:a360:e66,DE,Frankfurt,隧道,163 ms,96 Mbps,12390 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,146 ms,72 Mbps,9292 kB/s
8.219.119.16,443,47.236.58.234,SG,Singapore,隧道,171 ms,81 Mbps,10444 kB/s
129.159.205.103,443,129.159.205.103,DE,Frankfurt,中转,165 ms,35 Mbps,4569 kB/s
8.219.206.194,443,8.222.220.238,SG,Singapore,隧道,172 ms,46 Mbps,5962 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,316 ms,39 Mbps,5009 kB/s
8.222.245.108,443,8.222.220.238,SG,Singapore,隧道,170 ms,63 Mbps,8165 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,100 Mbps,12902 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,158 ms,4 Mbps,561 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,184 ms,76 Mbps,9756 kB/s
8.222.248.214,443,8.222.220.238,SG,Singapore,隧道,174 ms,58 Mbps,7546 kB/s
8.222.255.186,443,8.219.96.61,SG,Singapore,隧道,361 ms,87 Mbps,11161 kB/s
8.219.199.171,443,47.236.51.143,SG,Singapore,隧道,170 ms,84 Mbps,10854 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,16 Mbps,2090 kB/s
8.219.237.166,443,8.222.207.55,SG,Singapore,隧道,171 ms,92 Mbps,11776 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,161 ms,1 Mbps,178 kB/s
141.147.111.117,443,2606:f240:f00:83a7:0:3d8c:2f8:842,US,Frankfurt,隧道,170 ms,120 Mbps,15360 kB/s
193.122.117.159,443,193.122.117.159,KR,Seoul,中转,130 ms,47 Mbps,6131 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,129 ms,47 Mbps,6090 kB/s
47.245.83.82,443,8.222.222.65,SG,Singapore,隧道,171 ms,69 Mbps,8848 kB/s
138.2.24.133,443,128.14.110.204,SG,Singapore,隧道,175 ms,104 Mbps,13312 kB/s
193.123.187.233,443,2a0b:21c0:100a:1b6:0:16b8:873c:519f,DE,Frankfurt,隧道,162 ms,96 Mbps,12390 kB/s
8.219.181.234,443,47.236.58.234,SG,Singapore,隧道,177 ms,84 Mbps,10752 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,158 ms,41 Mbps,5325 kB/s
8.222.128.248,443,47.236.1.53,SG,Singapore,隧道,170 ms,66 Mbps,8517 kB/s
8.219.88.118,443,47.236.58.234,SG,Singapore,隧道,236 ms,90 Mbps,11571 kB/s
193.123.62.17,443,2a0b:21c0:100a:1b6:0:3fe:c50c:6f5b,DE,Frankfurt,隧道,157 ms,95 Mbps,12185 kB/s
144.21.33.173,443,2a0b:21c0:1007:1c9:0:c349:7923:a7ec,DE,Frankfurt,隧道,164 ms,88 Mbps,11366 kB/s
144.22.252.124,443,144.22.252.124,BR,S
