中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,17 ms,1040 Mbps,133120 kB/s
35.197.23.75,443,34.168.0.3,US,San Jose,隧道,46 ms,600 Mbps,76902 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,37 ms,656 Mbps,83968 kB/s
34.82.76.253,443,34.82.87.23,US,San Jose,隧道,58 ms,593 Mbps,75980 kB/s
35.230.79.26,443,34.168.0.3,US,San Jose,隧道,49 ms,568 Mbps,72704 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,34 ms,78 Mbps,9984 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,26 ms,24 Mbps,3123 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,148 ms,126 Mbps,16179 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,149 ms,154 Mbps,19763 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,18 ms,960 Mbps,122880 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,64 ms,427 Mbps,54681 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,223 Mbps,28569 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,42 ms,515 Mbps,65945 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,58 ms,433 Mbps,55500 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,23 ms,184 Mbps,23654 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,158 ms,140 Mbps,18022 kB/s
192.9.158.188,443,2a09:bac1:76c0:1cf0::1d3:70,US,San Jose,隧道,28 ms,163 Mbps,20889 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,17 ms,976 Mbps,124928 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,42 ms,321 Mbps,41164 kB/s
193.122.101.195,443,193.122.101.195,KR,Seoul,中转,157 ms,117 Mbps,15052 kB/s
47.253.206.29,443,47.253.206.29,US,Ashburn,中转,73 ms,18 Mbps,2404 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,48 ms,409 Mbps,52428 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,132 ms,125 Mbps,16076 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,67 ms,283 Mbps,36249 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,160 ms,146 Mbps,18739 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,160 ms,45 Mbps,5852 kB/s
8.219.132.29,443,8.222.236.107,SG,Singapore,隧道,187 ms,100 Mbps,12800 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,140 ms,45 Mbps,5837 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,149 ms,128 Mbps,16384 kB/s
130.162.140.72,443,107.151.176.202,US,Los Angeles,隧道,149 ms,137 Mbps,17612 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,165 ms,122 Mbps,15667 kB/s
193.122.59.252,443,2606:f240:f00:2be4:0:d2b5:40e4:c93f,US,Frankfurt,隧道,146 ms,136 Mbps,17510 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,193 ms,105 Mbps,13516 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,19 ms,91 Mbps,11673 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,145 ms,133 Mbps,17100 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,168 ms,44 Mbps,5635 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,166 ms,42 Mbps,5470 kB/s
144.24.79.237,443,152.67.196.23,KR,Seoul,隧道,152 ms,138 Mbps,17715 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:11b,KR,Seoul,隧道,135 ms,128 Mbps,16486 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,151 ms,139 Mbps,17817 kB/s
47.88.24.237,443,47.88.24.237,US,San Jose,中转,44 ms,21 Mbps,2749 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,148 ms,126 Mbps,16179 kB/s
193.123.230.56,443,2607:a400:a:6b:0:e1e6:a61d:a903,US,Los Angeles,隧道,165 ms,114 Mbps,14643 kB/s
193.122.104.14,443,2602:ffe4:407:21d9:0:c47:c0da:5361,SG,Singapore,隧道,249 ms,52 Mbps,6770 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,150 ms,115 Mbps,14745 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,159 ms,46 Mbps,5925 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,169 ms,4 Mbps,533 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,194 ms,41 Mbps,5305 kB/s
152.67.102.137,443,152.67.102.137,AU,Sydney,中转,167 ms,2 Mbps,329 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,168 ms,0 Mbps,103 kB/s
64.110.80.174,443,2607:a400:a:6c:0:1ed7:ec7f:2b2a,US,Los Angeles,隧道,156 ms,112 Mbps,14336 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,180 ms,88 Mbps,11264 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,85 ms,11 Mbps,1464 kB/s
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,207 ms,36 Mbps,4637 kB/s
146.56.159.188,443,2607:a400:a:6b:0:600:1b4a:91eb,US,Los Angeles,隧道,195 ms,102 Mbps,13107 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,176 ms,52 Mbps,6717 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,172 ms,40 Mbps,5247 kB/s
8.219.195.233,443,47.236.51.143,SG,Singapore,隧道,193 ms,72 Mbps,9243 kB/s
168.138.165.169,443,168.138.165.169,SG,Singapore,中转,215 ms,32 Mbps,4099 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,94 ms,32 Mbps,4106 kB/s
146.56.40.216,443,2607:a400:a:6b:0:30ca:12bc:c2b7,US,Los Angeles,隧道,170 ms,144 Mbps,18534 kB/s
8.219.52.99,443,8.222.222.65,SG,Singapore,隧道,206 ms,98 Mbps,12595 kB/s
141.148.220.141,443,2a09:bac1:36c0:18::1c5:74,IN,Mumbai,隧道,275 ms,31 Mbps,3984 kB/s
146.56.172.127,443,2607:a400:a:6b:0:71e8:a5ea:4b40,US,Los Angeles,隧道,150 ms,124 Mbps,15974 kB/s
130.162.157.234,443,2607:a400:a:6b:0:3a9a:b62c:2b19,US,Los Angeles,隧道,180 ms,131 Mbps,16793 kB/s
140.238.4.142,443,2607:a400:a:16b:0:989c:4644:c5f8,US,Los Angeles,隧道,187 ms,100 Mbps,12800 kB/s
