中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,43 ms,502 Mbps,64307 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,38 ms,652 Mbps,83558 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,28 ms,196 Mbps,25088 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,18 ms,582 Mbps,74547 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,20 ms,816 Mbps,104448 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,21 ms,435 Mbps,55705 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,56 ms,364 Mbps,46694 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,20 ms,619 Mbps,79257 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,66 ms,45 Mbps,5823 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,87 ms,193 Mbps,24780 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,146 ms,114 Mbps,14643 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,207 Mbps,26521 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,149 ms,137 Mbps,17612 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,53 ms,287 Mbps,36761 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,140 ms,162 Mbps,20787 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,130 ms,35 Mbps,4493 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,146 ms,174 Mbps,22323 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,147 ms,154 Mbps,19763 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,139 ms,42 Mbps,5439 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,144 ms,196 Mbps,25190 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,154 ms,119 Mbps,15257 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,115 ms,2 Mbps,345 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,157 ms,152 Mbps,19558 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,140 ms,46 Mbps,5888 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,188 ms,3 Mbps,419 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,170 ms,41 Mbps,5344 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,137 ms,38 Mbps,4907 kB/s
130.162.144.191,443,2a09:bac5:4736:1a14::299:29,KR,Seoul,隧道,149 ms,35 Mbps,4497 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,161 ms,42 Mbps,5397 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,167 ms,40 Mbps,5143 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,180 ms,1 Mbps,131 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,160 ms,25 Mbps,3303 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,177 ms,108 Mbps,13824 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,167 ms,42 Mbps,5433 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,154 ms,43 Mbps,5516 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,172 ms,3 Mbps,470 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,160 ms,39 Mbps,5055 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,172 ms,37 Mbps,4845 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,141 ms,28 Mbps,3642 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,279 ms,62 Mbps,8037 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,162 ms,0 Mbps,100 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,250 ms,21 Mbps,2733 kB/s
193.123.80.245,443,193.123.80.245,AE,Paris,中转,238 ms,14 Mbps,1914 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,172 ms,1 Mbps,192 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,299 ms,0 Mbps,16 kB/s
