中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,4 ms,776 Mbps,99328 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,6 ms,55 Mbps,7116 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,244 Mbps,31232 kB/s
35.230.79.26,443,35.212.248.117,US,Seattle,隧道,91 ms,413 Mbps,52940 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,43 Mbps,5628 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,300 Mbps,38400 kB/s
129.146.46.164,443,129.146.46.164,272 Mbps,34918 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,114 ms,47 Mbps,6076 kB/s
47.90.141.204,443,91.149.239.62,US,Los Angeles,隧道,25 ms,28 Mbps,3606 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,226 Mbps,28979 kB/s
35.197.23.75,443,35.212.248.117,US,Seattle,隧道,68 ms,346 Mbps,44339 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,41 ms,676 Mbps,86528 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,412 Mbps,52736 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,13 ms,77 Mbps,9870 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,72 ms,51 Mbps,6545 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,90 ms,334 Mbps,42803 kB/s
132.145.67.50,443,2606:f240:f00:2be4:0:3469:91:c2e1,US,Frankfurt,隧道,109 ms,236 Mbps,30310 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,106 ms,240 Mbps,30720 kB/s
132.226.134.15,443,2a0b:21c0:100a:1b7:0:f103:e1ad:6172,DE,Frankfurt,隧道,117 ms,111 Mbps,14233 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,83 ms,284 Mbps,36352 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,99 ms,24 Mbps,3163 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,98 ms,44 Mbps,5676 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,137 ms,151 Mbps,19353 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,69 ms,268 Mbps,34406 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,114 ms,268 Mbps,34406 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,99 ms,49 Mbps,6321 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,76 ms,44 Mbps,5728 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,48 Mbps,6271 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,178 ms,119 Mbps,15257 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,100 ms,239 Mbps,30617 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,102 ms,46 Mbps,5919 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,87 ms,43 Mbps,5516 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,71 ms,280 Mbps,35840 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,162 ms,80 Mbps,10342 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,80 ms,288 Mbps,36864 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,96 ms,31 Mbps,3990 kB/s
158.101.212.88,443,2a0b:21c0:100a:1b6:0:e35a:947d:8de5,DE,Frankfurt,隧道,100 ms,247 Mbps,31641 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,241 ms,2 Mbps,267 kB/s
146.56.188.113,443,146.56.188.113,KR,Seoul,中转,206 ms,38 Mbps,4929 kB/s
130.162.144.191,443,2a09:bac5:4733:1a14::299:49,KR,Seoul,隧道,214 ms,30 Mbps,3966 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,180 ms,88 Mbps,11264 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,233 ms,27 Mbps,3523 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,262 ms,0 Mbps,39 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,201 ms,65 Mbps,8327 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,210 ms,130 Mbps,16691 kB/s
146.56.129.186,443,146.56.129.186,KR,Seoul,中转,209 ms,73 Mbps,9467 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,250 ms,67 Mbps,8613 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,225 ms,53 Mbps,6834 kB/s
8.222.205.210,443,8.222.220.238,SG,Singapore,隧道,264 ms,48 Mbps,6240 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,221 ms,40 Mbps,5193 kB/s
158.101.141.253,443,158.101.141.253,JP,Tokyo,中转,234 ms,68 Mbps,8815 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,228 ms,74 Mbps,9494 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,210 ms,77 Mbps,9962 kB/s
8.212.44.95,443,47.76.21.114,HK,Hong Kong,隧道,238 ms,57 Mbps,7320 kB/s
8.212.48.236,443,47.76.21.97,HK,Hong Kong,隧道,250 ms,67 Mbps,8678 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,259 ms,8 Mbps,1099 kB/s
130.162.135.9,443,130.162.135.9,KR,Seoul,中转,211 ms,36 Mbps,4733 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,245 ms,2 Mbps,262 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,209 ms,40 Mbps,5153 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,254 ms,40 Mbps,5129 kB/s
64.110.89.92,443,64.110.89.92,KR,Seoul,中转,223 ms,43 Mbps,5554 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,252 ms,11 Mbps,1444 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,239 ms,49 Mbps,6326 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,269 ms,62 Mbps,7958 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,206 ms,36 Mbps,4683 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,381 ms,67 Mbps,8655 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,301 ms,38 Mbps,4951 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,485 ms,36 Mbps,4664 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,225 ms,0 Mbps,17 kB/s
