中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,21 ms,99 Mbps,12697 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,1000 Mbps,128000 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,41 ms,305 Mbps,39116 kB/s
129.146.7.98,443,2a09:bac5:60ee:1173::1bd:d5,US,Los Angeles,隧道,23 ms,58 Mbps,7443 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,19 ms,0 Mbps,1 kB/s
35.230.79.26,443,34.168.0.3,US,Seattle,隧道,41 ms,611 Mbps,78233 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,31 ms,304 Mbps,38912 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,331 Mbps,42393 kB/s
18.216.55.100,443,18.216.55.100,US,Ashburn,中转,116 ms,401 Mbps,51404 kB/s
47.253.206.29,443,47.253.206.29,US,Ashburn,中转,60 ms,34 Mbps,4405 kB/s
35.197.23.75,443,34.168.0.3,US,Seattle,隧道,72 ms,587 Mbps,75161 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,42 ms,10 Mbps,1352 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,37 ms,1160 Mbps,148480 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,95 ms,415 Mbps,53145 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,41 ms,666 Mbps,85299 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,141 ms,42 Mbps,5479 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,20 ms,17 Mbps,2196 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,60 ms,415 Mbps,53145 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,62 ms,392 Mbps,50176 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,104 ms,50 Mbps,6413 kB/s
132.226.31.178,443,2a09:bac5:60ed:183c::26a:2c,US,Los Angeles,隧道,28 ms,57 Mbps,7362 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,52 ms,622 Mbps,79667 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,148 ms,118 Mbps,15155 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,124 ms,184 Mbps,23552 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,161 ms,160 Mbps,20480 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,504 Mbps,64614 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,92 ms,40 Mbps,5126 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,157 ms,124 Mbps,15974 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,138 ms,132 Mbps,16998 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,149 ms,148 Mbps,19046 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,24 ms,729 Mbps,93388 kB/s
140.83.61.244,443,140.83.61.244,JP,Osaka,中转,167 ms,45 Mbps,5780 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,175 ms,49 Mbps,6336 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,157 ms,142 Mbps,18227 kB/s
152.70.88.253,443,2607:a400:a:6b:0:ef92:c51a:9ca3,US,Los Angeles,隧道,152 ms,139 Mbps,17817 kB/s
143.47.185.89,443,2a0b:21c0:1007:1cb:0:7167:86be:6daa,DE,Frankfurt,隧道,157 ms,145 Mbps,18636 kB/s
8.222.172.80,443,8.219.96.61,SG,Singapore,隧道,203 ms,94 Mbps,12083 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,51 ms,56 Mbps,7184 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,166 ms,161 Mbps,20684 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,41 ms,327 Mbps,41881 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,156 ms,4 Mbps,614 kB/s
