中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,20 ms,628 Mbps,80384 kB/s
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,36 ms,607 Mbps,77721 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,31 ms,1256 Mbps,160768 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,64 ms,554 Mbps,70963 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,63 ms,498 Mbps,63795 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,47 ms,524 Mbps,67072 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,20 ms,441 Mbps,56524 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,73 ms,373 Mbps,47820 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,57 ms,52 Mbps,6772 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,42 ms,754 Mbps,96563 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,59 ms,484 Mbps,61952 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,116 ms,191 Mbps,24473 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,17 ms,619 Mbps,79257 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,55 ms,6 Mbps,788 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,147 ms,136 Mbps,17510 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,148 ms,127 Mbps,16281 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,145 ms,134 Mbps,17203 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,144 ms,154 Mbps,19763 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,50 ms,23 Mbps,3006 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,147 ms,176 Mbps,22528 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,74 ms,189 Mbps,24268 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,144 ms,42 Mbps,5475 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,196 ms,2 Mbps,376 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,142 ms,175 Mbps,22425 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,139 ms,40 Mbps,5246 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,178 ms,30 Mbps,3911 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,131 ms,152 Mbps,19456 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,131 ms,43 Mbps,5557 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,154 ms,50 Mbps,6456 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,166 ms,6 Mbps,789 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,150 ms,161 Mbps,20684 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,175 ms,2 Mbps,272 kB/s
146.56.137.229,443,107.151.176.202,US,Los Angeles,隧道,179 ms,108 Mbps,13926 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,142 ms,128 Mbps,16384 kB/s
130.162.144.191,443,2a09:bac5:4732:155::22:106,KR,Seoul,隧道,146 ms,41 Mbps,5248 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,180 ms,31 Mbps,3993 kB/s
158.101.201.244,443,98.98.166.58,US,Frankfurt,隧道,140 ms,156 Mbps,20070 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,146 ms,42 Mbps,5501 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,139 ms,46 Mbps,5942 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,157 ms,44 Mbps,5721 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,190 ms,32 Mbps,4098 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,172 ms,40 Mbps,5217 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,156 ms,4 Mbps,524 kB/s
129.154.201.153,443,2602:ffe4:407:21d9:0:129e:201b:3291,SG,Singapore,隧道,230 ms,81 Mbps,10444 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,247 ms,60 Mbps,7739 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,180 ms,4 Mbps,537 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,153 ms,1 Mbps,169 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,238 ms,2 Mbps,332 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,178 ms,0 Mbps,16 kB/s
193.123.80.245,443,193.123.80.245,AE,Marseille,中转,250 ms,25 Mbps,3224 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,157 ms,1 Mbps,250 kB/s
