中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,28 ms,324 Mbps,41574 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,24 ms,904 Mbps,115712 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,23 ms,888 Mbps,113664 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,31 ms,608 Mbps,77824 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,28 ms,47 Mbps,6119 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,17 ms,1016 Mbps,130048 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,21 ms,70 Mbps,8965 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,25 ms,1200 Mbps,153600 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,113 ms,155 Mbps,19865 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,26 ms,976 Mbps,124928 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,19 ms,420 Mbps,53862 kB/s
47.251.108.178,443,47.251.108.178,US,San Jose,中转,29 ms,76 Mbps,9810 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,49 ms,13 Mbps,1734 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,667 Mbps,85401 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,157 ms,122 Mbps,15667 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,36 ms,896 Mbps,114688 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,33 ms,257 Mbps,32972 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,45 ms,658 Mbps,84275 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,112 ms,14 Mbps,1891 kB/s
129.159.37.229,443,129.159.37.229,US,San Jose,中转,81 ms,73 Mbps,9432 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,62 ms,1128 Mbps,144384 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,86 ms,32 Mbps,4096 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,61 ms,354 Mbps,45363 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,60 ms,349 Mbps,44748 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,145 ms,145 Mbps,18636 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,61 ms,362 Mbps,46387 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,150 ms,112 Mbps,14336 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,185 Mbps,23756 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,146 ms,46 Mbps,6009 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,107 Mbps,13721 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,225 ms,37 Mbps,4785 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,139 ms,126 Mbps,16179 kB/s
141.147.88.123,443,2a0b:21c0:100a:1b0:0:2663:fc2e:8d49,DE,Frankfurt,隧道,157 ms,75 Mbps,9723 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,183 ms,113 Mbps,14540 kB/s
