中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,81 ms,346 Mbps,44339 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,60 ms,412 Mbps,52736 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,14 ms,57 Mbps,7313 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,49 ms,231 Mbps,29593 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,70 ms,406 Mbps,52019 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,13 ms,68 Mbps,8762 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,286 Mbps,36659 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,88 ms,245 Mbps,31436 kB/s
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,69 ms,333 Mbps,42700 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,18 ms,754 Mbps,96563 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,100 ms,220 Mbps,28160 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,San Jose,隧道,75 ms,45 Mbps,5882 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,104 ms,45 Mbps,5879 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,96 ms,45 Mbps,5870 kB/s
129.146.46.164,443,129.146.46.164,259 Mbps,33177 kB/s
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,8 ms,16 Mbps,2134 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,79 ms,337 Mbps,43212 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,195 Mbps,24985 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,66 ms,325 Mbps,41676 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,66 ms,33 Mbps,4235 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,75 ms,258 Mbps,33075 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,99 ms,304 Mbps,39014 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,117 ms,48 Mbps,6206 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,71 ms,347 Mbps,44441 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,99 ms,271 Mbps,34713 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,100 ms,248 Mbps,31846 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,104 ms,321 Mbps,41164 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,127 ms,252 Mbps,32256 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,128 ms,164 Mbps,20992 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,91 ms,44 Mbps,5757 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,63 ms,46 Mbps,5936 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,98 ms,47 Mbps,6092 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,90 ms,49 Mbps,6363 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,93 ms,47 Mbps,6099 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,156 ms,123 Mbps,15769 kB/s
158.101.218.195,443,2a0b:21c0:100a:1b0:0:a9ad:b963:194d,DE,Frankfurt,隧道,114 ms,225 Mbps,28876 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,200 ms,106 Mbps,13619 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,120 ms,15 Mbps,2006 kB/s
130.61.23.77,443,130.61.23.77,87 Mbps,11161 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,121 ms,81 Mbps,10444 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,203 ms,79 Mbps,10137 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,205 ms,78 Mbps,10035 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,210 ms,78 Mbps,10035 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,213 ms,32 Mbps,4163 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,210 ms,72 Mbps,9311 kB/s
130.162.144.191,443,2a09:bac5:4732:1a14::299:66,KR,Seoul,隧道,218 ms,32 Mbps,4207 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,235 ms,2 Mbps,275 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,245 ms,22 Mbps,2900 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,228 ms,0 Mbps,11 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,216 ms,72 Mbps,9263 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,228 ms,39 Mbps,5035 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,233 ms,35 Mbps,4559 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,251 ms,62 Mbps,7988 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,230 ms,39 Mbps,5086 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,241 ms,90 Mbps,11571 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,234 ms,13 Mbps,1778 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,245 ms,3 Mbps,427 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,260 ms,50 Mbps,6509 kB/s
129.151.148.35,443,129.151.148.35,AE,Hong Kong,中转,199 ms,32 Mbps,4128 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,197 ms,9 Mbps,1195 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,199 ms,25 Mbps,3299 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,335 ms,0 Mbps,8 kB/s
