中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,590 Mbps,75571 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,23 ms,62 Mbps,8034 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,10 ms,71 Mbps,9141 kB/s
129.146.7.98,443,2a09:bac1:76c0:e18::26a:42,US,Los Angeles,隧道,72 ms,65 Mbps,8374 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,99 ms,292 Mbps,37478 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,77 ms,396 Mbps,50790 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,92 ms,379 Mbps,48537 kB/s
35.197.23.75,443,35.212.215.237,US,Seattle,隧道,79 ms,284 Mbps,36454 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,434 Mbps,55603 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,80 ms,419 Mbps,53657 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,19 ms,816 Mbps,104448 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,78 ms,342 Mbps,43827 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,117 ms,246 Mbps,31539 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,83 ms,238 Mbps,30515 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,257 Mbps,32972 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,107 ms,31 Mbps,4052 kB/s
143.47.178.5,443,2a0b:21c0:100a:1b3:0:c20:8052:2873,DE,Frankfurt,隧道,90 ms,226 Mbps,28979 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,76 ms,39 Mbps,5084 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,90 ms,318 Mbps,40755 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,126 ms,44 Mbps,5678 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,209 Mbps,26828 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,78 ms,292 Mbps,37478 kB/s
35.230.79.26,443,35.212.215.237,US,Seattle,隧道,72 ms,416 Mbps,53248 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,94 ms,271 Mbps,34713 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,103 ms,227 Mbps,29081 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,101 ms,330 Mbps,42291 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,91 ms,50 Mbps,6461 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,100 ms,240 Mbps,30822 kB/s
193.123.61.156,443,2a0b:21c0:100a:1b7:0:4587:2b05:2302,DE,Frankfurt,隧道,109 ms,233 Mbps,29900 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,81 ms,43 Mbps,5546 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,81 ms,297 Mbps,38092 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,95 ms,46 Mbps,6007 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,141 ms,156 Mbps,19968 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,96 ms,48 Mbps,6151 kB/s
143.47.183.201,443,2606:f240:f00:5a42:0:223d:d4a1:aeee,US,Frankfurt,隧道,107 ms,262 Mbps,33587 kB/s
152.70.60.159,443,2a0b:21c0:1007:c9:0:1612:db2e:689,DE,Frankfurt,隧道,107 ms,253 Mbps,32460 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,102 ms,44 Mbps,5708 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,184 ms,103 Mbps,13209 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,201 ms,97 Mbps,12492 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,197 ms,101 Mbps,13004 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,223 ms,84 Mbps,10752 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,214 ms,21 Mbps,2776 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,259 ms,2 Mbps,291 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,221 ms,75 Mbps,9688 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,226 ms,33 Mbps,4302 kB/s
130.162.144.191,443,2a09:bac1:3f00::20b:7c,KR,Seoul,隧道,225 ms,33 Mbps,4333 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,212 ms,39 Mbps,5072 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,208 ms,91 Mbps,11673 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,220 ms,37 Mbps,4793 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,237 ms,86 Mbps,11059 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,195 ms,39 Mbps,5025 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,228 ms,3 Mbps,501 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,252 ms,30 Mbps,3887 kB/s
158.180.74.63,443,2602:ffe4:407:20da:0:6614:c1fb:c320,SG,Singapore,隧道,268 ms,47 Mbps,6128 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,225 ms,45 Mbps,5826 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,191 ms,6 Mbps,842 kB/s
129.159.84.71,443,129.159.84.71,US,Newark,中转,229 ms,0 Mbps,20 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,200 ms,21 Mbps,2746 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,208 ms,0 Mbps,14 kB/s
