中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,596 Mbps,76390 kB/s
130.162.250.180,443,2603:c020:8014:a8ee:cad4:eb37:5749:cafa,DE,Frankfurt,隧道,93 ms,90 Mbps,11571 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,283 Mbps,36249 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,73 ms,284 Mbps,36454 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,68 ms,103 Mbps,13209 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,15 ms,592 Mbps,75776 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,360 Mbps,46080 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,328 Mbps,42086 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,57 ms,40 Mbps,5246 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,26 ms,400 Mbps,51200 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,77 ms,44 Mbps,5635 kB/s
132.226.31.178,443,2a09:bac1:76c0:e18::c:374,US,Los Angeles,隧道,116 ms,17 Mbps,2197 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,95 ms,216 Mbps,27750 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,81 ms,309 Mbps,39628 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,70 ms,314 Mbps,40243 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,82 ms,349 Mbps,44748 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,92 ms,206 Mbps,26419 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,64 ms,48 Mbps,6156 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,97 ms,75 Mbps,9718 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,71 ms,253 Mbps,32460 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,200 Mbps,25600 kB/s
