中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,89 ms,44 Mbps,5653 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,8 ms,792 Mbps,101376 kB/s
129.146.7.98,443,2a09:bac5:60ec:78::c:3a7,US,Los Angeles,隧道,86 ms,60 Mbps,7690 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,95 ms,323 Mbps,41369 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,71 ms,506 Mbps,64819 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,26 ms,424 Mbps,54272 kB/s
184.169.181.217,443,184.169.181.217,US,Seattle,中转,81 ms,328 Mbps,42086 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,17 ms,88 Mbps,11366 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,44 Mbps,5729 kB/s
35.197.23.75,443,35.212.199.151,US,Seattle,隧道,75 ms,372 Mbps,47718 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,14 ms,44 Mbps,5701 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,12 ms,61 Mbps,7883 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,255 Mbps,32665 kB/s
192.9.146.103,443,192.9.146.103,US,Dallas,中转,80 ms,306 Mbps,39219 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,85 ms,343 Mbps,43929 kB/s
192.18.134.231,443,192.18.134.231,US,Dallas,中转,67 ms,304 Mbps,39014 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,204 ms,102 Mbps,13107 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,260 Mbps,33382 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,98 ms,47 Mbps,6036 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,70 ms,46 Mbps,5905 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,122 ms,140 Mbps,17920 kB/s
129.146.46.164,443,129.146.46.164,262 Mbps,33587 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,85 ms,271 Mbps,34713 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,94 ms,42 Mbps,5463 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,111 ms,45 Mbps,5796 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,96 ms,44 Mbps,5755 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,95 ms,216 Mbps,27750 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,76 ms,321 Mbps,41164 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,72 ms,306 Mbps,39219 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,179 ms,108 Mbps,13824 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,91 ms,48 Mbps,6147 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,109 ms,45 Mbps,5873 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,119 ms,83 Mbps,10649 kB/s
35.230.79.26,443,35.212.199.151,US,Seattle,隧道,86 ms,373 Mbps,47820 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,99 ms,48 Mbps,6197 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,102 ms,308 Mbps,39526 kB/s
130.162.231.167,443,2a0b:21c0:100a:1b0:0:27a1:85ae:26f,DE,Frankfurt,隧道,96 ms,120 Mbps,15462 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,114 ms,28 Mbps,3629 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,237 Mbps,30412 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,220 ms,79 Mbps,10137 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,226 ms,8 Mbps,1084 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,268 Mbps,34406 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,116 ms,261 Mbps,33484 kB/s
130.162.144.191,443,2a09:bac1:3f40::299:1c,KR,Seoul,隧道,246 ms,20 Mbps,2679 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,209 ms,77 Mbps,9954 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,260 ms,34 Mbps,4446 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:109,KR,Seoul,隧道,218 ms,69 Mbps,8857 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,272 ms,30 Mbps,3961 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,250 ms,49 Mbps,6344 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,231 ms,0 Mbps,103 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,217 ms,73 Mbps,9398 kB/s
