中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
141.144.239.54,443,2a0b:21c0:100a:1fa:0:b412:796e:b8f9,DE,Paris,隧道,91 ms,124 Mbps,15872 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,21 ms,85 Mbps,10956 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,22 ms,614 Mbps,78643 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,69 ms,330 Mbps,42291 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,6 ms,65 Mbps,8391 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,27 ms,368 Mbps,47206 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,534 Mbps,68403 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,96 ms,44 Mbps,5704 kB/s
158.101.214.203,443,98.98.166.58,US,Frankfurt,隧道,89 ms,140 Mbps,17920 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,83 ms,120 Mbps,15462 kB/s
140.238.212.95,443,140.238.212.95,CH,Frankfurt,中转,98 ms,39 Mbps,5021 kB/s
129.146.46.164,443,129.146.46.164,,Los Angeles,中转,0 ms,256 Mbps,32768 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,100 ms,904 Mbps,115712 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,95 ms,219 Mbps,28057 kB/s
158.180.45.187,443,2a0b:21c0:1007:c8:0:db37:efa1:889a,DE,Frankfurt,隧道,147 ms,204 Mbps,26112 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,73 ms,271 Mbps,34713 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,71 ms,71 Mbps,9171 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,69 ms,281 Mbps,36044 kB/s
192.9.138.241,443,192.9.138.241,265 Mbps,33996 kB/s
192.9.138.241,,,隧道,0 ms,null Mbps,null kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,102 ms,80 Mbps,10240 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,97 ms,114 Mbps,14643 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,65 ms,47 Mbps,6050 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,53 ms,659 Mbps,84377 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,77 ms,314 Mbps,40243 kB/s
132.226.31.178,443,2a09:bac1:7680:e18::c:33d,US,Los Angeles,隧道,60 ms,32 Mbps,4196 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,207 Mbps,26521 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,79 ms,305 Mbps,39116 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,75 ms,44 Mbps,5640 kB/s
47.253.104.12,443,47.251.149.53,US,San Jose,隧道,7 ms,3 Mbps,422 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,69 ms,309 Mbps,39628 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,113 ms,352 Mbps,45158 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,92 ms,25 Mbps,3205 kB/s
47.254.42.167,443,47.251.149.51,US,San Jose,隧道,161 ms,3 Mbps,441 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,245 Mbps,31436 kB/s
141.144.199.157,443,2a0b:21c0:1007:1cb:0:7e4:5ddd:1a05,DE,Frankfurt,隧道,89 ms,122 Mbps,15667 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,83 ms,226 Mbps,28979 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,89 ms,240 Mbps,30822 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,84 ms,114 Mbps,14643 kB/s
152.67.65.201,443,152.67.65.201,CH,Zurich,中转,99 ms,36 Mbps,4675 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,71 ms,124 Mbps,15872 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,93 ms,49 Mbps,6295 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,91 ms,216 Mbps,27750 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,109 ms,44 Mbps,5718 kB/s
152.67.148.130,443,2a0b:21c0:1007:1c8:0:7ef4:7c7d:2b69,DE,Frankfurt,隧道,109 ms,143 Mbps,18329 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,196 ms,82 Mbps,10547 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,94 ms,43 Mbps,5621 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,102 ms,316 Mbps,40448 kB/s
141.147.68.39,443,2a0b:21c0:1007:c8:0:6099:cee0:be97,DE,Paris,隧道,96 ms,236 Mbps,30208 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,64 ms,47 Mbps,6039 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,336 Mbps,43008 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,85 ms,311 Mbps,39833 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,203 ms,40 Mbps,5234 kB/s
129.151.244.9,443,129.151.244.9,FR,Marseille,中转,90 ms,252 Mbps,32358 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,85 ms,9 Mbps,1193 kB/s
47.89.182.61,443,47.251.149.52,US,San Jose,隧道,93 ms,3 Mbps,445 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,240 ms,115 Mbps,14745 kB/s
193.123.58.204,443,2606:f240:f00:5a42:0:83bf:405b:e5ce,US,Frankfurt,隧道,91 ms,154 Mbps,19763 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,133 ms,223 Mbps,28569 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,186 ms,11 Mbps,1461 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,99 ms,116 Mbps,14848 kB/s
168.138.162.187,443,2603:c024:4509:ba23:441b:bc2a:e30f:2c83,SG,Singapore,隧道,222 ms,22 Mbps,2910 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,197 ms,9 Mbps,1262 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,184 ms,76 Mbps,9787 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,206 ms,34 Mbps,4406 kB/s
