中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,460 Mbps,58880 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,76 ms,388 Mbps,49766 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,31 ms,605 Mbps,77516 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,78 ms,399 Mbps,51097 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,40 ms,576 Mbps,73830 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,29 ms,20 Mbps,2639 kB/s
129.146.7.98,443,2a09:bac5:60ed:1173::1bd:f8,US,Los Angeles,隧道,64 ms,84 Mbps,10854 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,7 ms,3 Mbps,395 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,95 ms,150 Mbps,19251 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,354 Mbps,45363 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,91 ms,249 Mbps,31948 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,99 ms,328 Mbps,41984 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,17 ms,15 Mbps,1941 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,30 Mbps,3946 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,115 ms,402 Mbps,51507 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,71 ms,308 Mbps,39526 kB/s
152.70.61.187,443,2a0b:21c0:1007:1c7:0:3ab:7a32:8833,DE,Frankfurt,隧道,89 ms,193 Mbps,24780 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,244 Mbps,31334 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,78 ms,19 Mbps,2545 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,100 ms,5 Mbps,730 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,204 Mbps,26214 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,6 ms,168 Mbps,21606 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,82 ms,41 Mbps,5358 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,2 ms,49 Mbps,6337 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,86 ms,19 Mbps,2469 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,106 ms,42 Mbps,5478 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,316 Mbps,40550 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,103 ms,264 Mbps,33792 kB/s
141.148.230.93,443,98.98.166.178,US,Frankfurt,隧道,98 ms,254 Mbps,32563 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,248 Mbps,31744 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,110 ms,50 Mbps,6450 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,141 ms,164 Mbps,20992 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,89 ms,264 Mbps,33792 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,75 ms,272 Mbps,34918 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,84 ms,289 Mbps,37068 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,211 ms,112 Mbps,14336 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,114 ms,223 Mbps,28569 kB/s
141.148.227.212,443,2606:f240:f00:dd8d:0:78c4:2e45:ce96,US,Frankfurt,隧道,104 ms,248 Mbps,31846 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,101 ms,418 Mbps,53555 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,144 ms,156 Mbps,19968 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,114 ms,45 Mbps,5860 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,111 ms,240 Mbps,30822 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,192 ms,83 Mbps,10649 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,204 ms,0 Mbps,69 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,98 ms,50 Mbps,6467 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,221 ms,3 Mbps,492 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,18 ms,84 Mbps,10854 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,196 ms,40 Mbps,5123 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,198 ms,77 Mbps,9932 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,214 ms,59 Mbps,7653 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,218 ms,116 Mbps,14848 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,113 ms,46 Mbps,5917 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,227 ms,59 Mbps,7601 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,235 ms,2 Mbps,281 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,98 ms,94 Mbps,12083 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,224 ms,29 Mbps,3805 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,227 ms,35 Mbps,4541 kB/s
130.162.144.191,443,2a09:bac1:3f40:90::22:134,KR,Seoul,隧道,205 ms,33 Mbps,4285 kB/s
194.36.24.34,443,194.36.24.34,US,San Jose,中转,88 ms,389 Mbps,49868 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,95 ms,369 Mbps,47308 kB/s
8.222.163.185,443,47.84.41.244,SG,Singapore,隧道,236 ms,32 Mbps,4207 kB/s
149.129.8.215,443,47.254.87.121,,colo.txt:San Jose,隧道,0 ms,3 Mbps,422 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,95 ms,49 Mbps,6301 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,224 ms,64 Mbps,8288 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,235 ms,88 Mbps,11366 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,261 ms,58 Mbps,7454 kB/s
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,269 ms,23 Mbps,3013 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,240 ms,33 Mbps,4224 kB/s
141.147.154.214,443,141.147.154.214,JP,Osaka,中转,254 ms,37 Mbps,4744 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,247 ms,71 Mbps,9099 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,242 ms,36 Mbps,4634 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,235 ms,24 Mbps,3083 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,250 ms,92 Mbps,11878 kB/s
8.212.48.236,443,47.76.21.103,HK,Hong Kong,隧道,233 ms,69 Mbps,8908 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,205 ms,102 Mbps,13107 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,214 ms,79 Mbps,10137 kB/s
8.219.216.7,443,8.222.213.200,SG,Singapore,隧道,271 ms,19 Mbps,2452 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,196 ms,77 Mbps,9877 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,212 ms,60 Mbps,7701 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,89 ms,10 Mbps,1356 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,71 ms,94 Mbps,12083 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,116 ms,23 Mbps,2978 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,99 ms,0 Mbps,43 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,87 ms,27 Mbps,3470 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,92 ms,14 Mbps,1831 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,104 ms,36 Mbps,4627 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,122 ms,258 Mbps,33075 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,111 ms,253 Mbps,32460 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,261 ms,32 Mbps,4177 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,199 ms,33 Mbps,4299 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,220 ms,16 Mbps,2117 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,261 ms,37 Mbps,4803 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,262 ms,74 Mbps,9515 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,257 ms,19 Mbps,2448 kB/s
8.212.44.95,443,47.76.21.99,HK,Hong Kong,隧道,249 ms,75 Mbps,9645 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,238 ms,86 Mbps,11059 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,233 ms,35 Mbps,4601 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,97 ms,0 Mbps,9 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,2 ms,3 Mbps,426 kB/s
168.138.165.174,443,168.138.165.174,SG,,中转,260 ms,31 Mbps,4011 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,0 ms,0 Mbps,70 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,1251 ms,0 Mbps,10 kB/s
