中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,45 Mbps,5786 kB/s
35.197.23.75,443,35.212.185.117,US,Seattle,隧道,70 ms,361 Mbps,46284 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,44 ms,604 Mbps,77312 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,6 ms,19 Mbps,2492 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,8 ms,61 Mbps,7848 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,35 ms,542 Mbps,69427 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,77 ms,228 Mbps,29184 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,22 ms,856 Mbps,109568 kB/s
130.61.23.77,443,130.61.23.77,26 Mbps,3381 kB/s
130.61.23.77,DE,null Mbps,null kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,106 ms,1 Mbps,186 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,228 Mbps,29184 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,99 ms,256 Mbps,32870 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,81 ms,288 Mbps,36864 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,93 ms,25 Mbps,3278 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,68 Mbps,8769 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,112 Mbps,14438 kB/s
129.146.46.164,443,129.146.46.164,233 Mbps,29900 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,87 ms,367 Mbps,47001 kB/s
35.230.79.26,443,35.212.185.117,US,Seattle,隧道,81 ms,356 Mbps,45670 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,92 ms,32 Mbps,4213 kB/s
47.90.141.204,443,91.149.239.62,US,Los Angeles,隧道,8 ms,47 Mbps,6055 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,102 ms,48 Mbps,6256 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,71 ms,290 Mbps,37171 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,235 Mbps,30105 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,295 Mbps,37785 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,90 ms,341 Mbps,43724 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,3 Mbps,443 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,116 ms,213 Mbps,27340 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,106 ms,72 Mbps,9267 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,98 ms,43 Mbps,5601 kB/s
150.230.44.13,443,150.230.44.13,US,Dallas,中转,79 ms,274 Mbps,35123 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,100 ms,227 Mbps,29081 kB/s
141.144.204.88,443,98.98.166.170,US,Frankfurt,隧道,100 ms,237 Mbps,30412 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,199 ms,98 Mbps,12595 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,60 ms,53 Mbps,6784 kB/s
168.138.149.17,443,168.138.149.17,BR,S
