中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,16 ms,880 Mbps,112640 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::1bd:50,US,Los Angeles,隧道,53 ms,92 Mbps,11878 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,51 ms,448 Mbps,57344 kB/s
130.61.23.77,443,130.61.23.77,167 Mbps,21401 kB/s
130.61.23.77,,,隧道,0 ms,null Mbps,null kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,39 ms,377 Mbps,48332 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,131 ms,409 Mbps,52428 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,101 ms,176 Mbps,22528 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,53 ms,379 Mbps,48537 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,52 ms,55 Mbps,7091 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,30 ms,200 Mbps,25600 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,56 ms,359 Mbps,45977 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,51 ms,438 Mbps,56115 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,192 Mbps,24678 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,44 ms,610 Mbps,78131 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,77 ms,362 Mbps,46387 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,189 Mbps,24268 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,48 ms,461 Mbps,59084 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,57 ms,402 Mbps,51507 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,61 ms,272 Mbps,34816 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,52 ms,425 Mbps,54476 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,109 ms,415 Mbps,53145 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,59 ms,47 Mbps,6033 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,51 ms,39 Mbps,5049 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,193 ms,127 Mbps,16281 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,53 ms,392 Mbps,50278 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,105 ms,24 Mbps,3094 kB/s
141.144.207.99,443,2a0b:21c0:1007:1c9:0:711:514e:937b,DE,Frankfurt,隧道,108 ms,126 Mbps,16179 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,63 ms,407 Mbps,52121 kB/s
