中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,7 ms,693 Mbps,88780 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,47 ms,296 Mbps,37888 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,33 ms,402 Mbps,51507 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,102 ms,226 Mbps,28979 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,93 ms,364 Mbps,46592 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,212 Mbps,27136 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,6 ms,63 Mbps,8150 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,96 ms,203 Mbps,26009 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,84 ms,228 Mbps,29286 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,79 ms,260 Mbps,33382 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,85 ms,391 Mbps,50073 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,106 ms,44 Mbps,5749 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,69 ms,345 Mbps,44236 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,74 ms,174 Mbps,22323 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,10 ms,73 Mbps,9467 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,277 Mbps,35532 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,72 ms,352 Mbps,45056 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,87 ms,47 Mbps,6081 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,57 ms,48 Mbps,6150 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,101 ms,299 Mbps,38297 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,111 ms,43 Mbps,5585 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,97 ms,25 Mbps,3315 kB/s
168.138.149.17,443,168.138.149.17,BR,S
