中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,229 ms,2 Mbps,295 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,213 ms,59 Mbps,7574 kB/s
146.56.179.91,443,146.56.179.91,KR,Seoul,中转,193 ms,74 Mbps,9539 kB/s
64.110.108.118,443,64.110.108.118,JP,Osaka,中转,431 ms,22 Mbps,2839 kB/s
140.83.36.122,443,140.83.36.122,JP,Tokyo,中转,218 ms,58 Mbps,7488 kB/s
131.186.57.111,443,131.186.57.111,JP,Tokyo,中转,215 ms,61 Mbps,7841 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,277 ms,75 Mbps,9663 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,217 ms,37 Mbps,4815 kB/s
193.122.101.195,443,193.122.101.195,KR,Seoul,中转,197 ms,84 Mbps,10854 kB/s
168.138.212.87,443,168.138.212.87,JP,Tokyo,中转,310 ms,64 Mbps,8219 kB/s
152.69.222.9,443,152.69.222.9,SG,Singapore,中转,223 ms,33 Mbps,4244 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,381 ms,22 Mbps,2850 kB/s
158.101.73.247,443,128.14.104.155,SG,Singapore,隧道,247 ms,41 Mbps,5249 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,217 ms,31 Mbps,3971 kB/s
168.138.209.31,443,2a09:bac5:442a:dc::16:1db,JP,Tokyo,隧道,240 ms,28 Mbps,3658 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,199 ms,66 Mbps,8467 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,248 ms,43 Mbps,5549 kB/s
131.186.20.102,443,2602:ffe4:407:21d9:0:f10c:e4f0:a76e,SG,Singapore,隧道,256 ms,46 Mbps,5964 kB/s
8.219.118.238,443,8.219.118.238,SG,Tokyo,中转,240 ms,50 Mbps,6487 kB/s
158.101.192.232,443,2a0b:21c0:100a:1b7:0:a699:ad24:d0a0,DE,Frankfurt,隧道,92 ms,242 Mbps,31027 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,246 Mbps,31539 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,23 ms,77 Mbps,9906 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,64 ms,19 Mbps,2488 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,171 ms,248 Mbps,31846 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,146 ms,306 Mbps,39219 kB/s
152.70.248.96,443,2a09:bac1:3f20:90::22:110,KR,Seoul,隧道,196 ms,2 Mbps,360 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,150 ms,272 Mbps,34816 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,38 ms,736 Mbps,94208 kB/s
138.2.225.254,443,138.2.225.254,US,San Jose,中转,74 ms,283 Mbps,36249 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,65 ms,1 Mbps,158 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,18 ms,695 Mbps,88985 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,67 ms,109 Mbps,14028 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,75 ms,44 Mbps,5670 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,198 ms,75 Mbps,9636 kB/s
132.145.11.3,443,2606:f240:f00:2be4:0:72e8:49de:91fe,US,Frankfurt,隧道,100 ms,198 Mbps,25395 kB/s
141.147.73.230,443,98.98.166.182,US,Frankfurt,隧道,92 ms,177 Mbps,22732 kB/s
192.9.158.188,443,2a09:bac5:6442:1246::1d2:10,US,San Jose,隧道,70 ms,198 Mbps,25395 kB/s
130.162.144.191,443,2a09:bac1:3f20:90::20b:7a,KR,Seoul,隧道,193 ms,34 Mbps,4455 kB/s
158.178.227.135,443,140.245.118.240,SG,Singapore,隧道,226 ms,58 Mbps,7477 kB/s
144.22.252.124,443,144.22.252.124,BR,S
