中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,23 ms,632 Mbps,80896 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,528 Mbps,67686 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,51 ms,581 Mbps,74444 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,1168 Mbps,149504 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,248 Mbps,31846 kB/s
3.144.191.4,443,3.144.191.4,US,Ashburn,中转,67 ms,460 Mbps,58982 kB/s
35.197.23.75,443,35.212.231.200,US,Seattle,隧道,43 ms,629 Mbps,80588 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,62 ms,389 Mbps,49868 kB/s
35.230.79.26,443,35.212.231.200,US,Seattle,隧道,38 ms,618 Mbps,79155 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,17 ms,636 Mbps,81510 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,189 Mbps,24268 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,62 ms,355 Mbps,45465 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,71 ms,44 Mbps,5739 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,152 ms,129 Mbps,16588 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,146 ms,139 Mbps,17817 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,149 ms,44 Mbps,5642 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,22 ms,0 Mbps,67 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,142 ms,139 Mbps,17817 kB/s
138.3.254.39,443,138.3.254.39,DE,127 Mbps,16281 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,211 ms,3 Mbps,391 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,57 ms,778 Mbps,99635 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,143 ms,43 Mbps,5600 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,171 ms,92 Mbps,11878 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,43 ms,328 Mbps,41984 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,79 ms,44 Mbps,5718 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,163 ms,159 Mbps,20377 kB/s
158.178.147.110,443,163.123.193.6,DE,Frankfurt,隧道,149 ms,121 Mbps,15564 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,141 ms,132 Mbps,16998 kB/s
146.56.159.219,443,2607:a400:a:16b:0:4a8c:a3e6:c123,US,Los Angeles,隧道,174 ms,84 Mbps,10854 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,176 ms,166 Mbps,21299 kB/s
141.147.68.241,443,2606:f240:f00:6acf:0:50c1:9eb0:9f41,US,Frankfurt,隧道,155 ms,141 Mbps,18124 kB/s
130.61.134.32,443,2606:f240:f00:a683:0:1475:4d8b:56a7,US,Frankfurt,隧道,149 ms,142 Mbps,18227 kB/s
8.222.68.245,443,8.216.92.214,JP,Tokyo,隧道,156 ms,22 Mbps,2854 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,75 ms,7 Mbps,967 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,164 ms,120 Mbps,15462 kB/s
130.162.136.170,443,2607:a400:a:6b:0:33d2:4f46:62f3,US,Los Angeles,隧道,155 ms,133 Mbps,17100 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,161 ms,190 Mbps,24371 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,172 ms,0 Mbps,69 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,219 ms,39 Mbps,5062 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,16 ms,53 Mbps,6905 kB/s
140.238.35.140,443,140.238.35.140,JP,Tokyo,中转,192 ms,36 Mbps,4719 kB/s
168.138.149.17,443,168.138.149.17,BR,S
