中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,68 ms,904 Mbps,115712 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,24 ms,688 Mbps,88166 kB/s
129.146.46.164,443,129.146.46.164,289 Mbps,37068 kB/s
129.146.46.164,,,隧道,0 ms,null Mbps,null kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,55 ms,380 Mbps,48742 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,5 ms,1592 Mbps,203776 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,26 ms,680 Mbps,87040 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,28 ms,9 Mbps,1199 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,21 ms,912 Mbps,116736 kB/s
129.146.254.39,443,129.146.254.39,US,Los Angeles,中转,21 ms,75 Mbps,9686 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,70 ms,314 Mbps,40243 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,66 ms,31 Mbps,3978 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,105 ms,5 Mbps,707 kB/s
193.123.235.59,443,193.123.235.59,KR,Seoul,中转,133 ms,132 Mbps,16998 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,7 ms,1480 Mbps,189440 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,61 ms,94 Mbps,12083 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,73 ms,896 Mbps,114688 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,179 Mbps,22937 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,72 ms,164 Mbps,21094 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,161 ms,53 Mbps,6874 kB/s
132.226.31.178,443,2a09:bac5:60ec:183c::26a:82,US,Los Angeles,隧道,19 ms,36 Mbps,4688 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,201 ms,124 Mbps,15974 kB/s
192.9.158.188,443,2a09:bac5:6443:28::4:304,US,San Jose,隧道,25 ms,190 Mbps,24371 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,129 ms,131 Mbps,16793 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,128 ms,40 Mbps,5216 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,191 ms,824 Mbps,105472 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,157 ms,113 Mbps,14540 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,350 Mbps,44851 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,134 ms,112 Mbps,14336 kB/s
47.90.141.204,443,91.149.239.252,US,Los Angeles,隧道,70 ms,28 Mbps,3602 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,153 ms,107 Mbps,13721 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,129 ms,130 Mbps,16691 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,173 ms,74 Mbps,9478 kB/s
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,132 ms,139 Mbps,17817 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,133 ms,45 Mbps,5766 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,31 ms,54 Mbps,6992 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,142 ms,141 Mbps,18124 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,150 ms,23 Mbps,3047 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,107 Mbps,13721 kB/s
138.3.254.39,443,138.3.254.39,101 Mbps,13004 kB/s
130.162.144.191,443,2a09:bac1:3f00:90::299:49,KR,Seoul,隧道,134 ms,38 Mbps,4931 kB/s
193.122.117.159,443,193.122.117.159,KR,Seoul,中转,137 ms,42 Mbps,5434 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,151 ms,38 Mbps,4964 kB/s
152.70.248.96,443,2a09:bac1:3f20:90::22:110,KR,Seoul,隧道,135 ms,4 Mbps,547 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,133 ms,39 Mbps,4999 kB/s
