中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,34 ms,306 Mbps,39219 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,34 ms,369 Mbps,47308 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,37 ms,546 Mbps,69939 kB/s
129.159.37.229,443,129.159.37.229,US,San Jose,中转,23 ms,80 Mbps,10342 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,51 ms,872 Mbps,111616 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,Los Angeles,隧道,0 ms,59 Mbps,7627 kB/s
18.216.55.100,443,18.216.55.100,US,Ashburn,中转,60 ms,320 Mbps,40960 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,17 ms,984 Mbps,125952 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,49 ms,220 Mbps,28160 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,40 ms,619 Mbps,79257 kB/s
129.146.251.53,443,2603:c020:d:2b01:cdfa:999a:db14:e7e8,US,Los Angeles,隧道,49 ms,920 Mbps,117760 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,1048 Mbps,134144 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,18 ms,199 Mbps,25497 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,49 ms,1000 Mbps,128000 kB/s
131.186.28.236,443,131.186.28.236,KR,Seoul,中转,140 ms,41 Mbps,5256 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,18 ms,52 Mbps,6675 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,84 ms,553 Mbps,70860 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,144 ms,147 Mbps,18841 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,40 ms,501 Mbps,64204 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,60 ms,280 Mbps,35942 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,29 ms,60 Mbps,7735 kB/s
47.251.108.178,443,47.251.108.178,US,San Jose,中转,148 ms,52 Mbps,6717 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,69 ms,44 Mbps,5715 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,141 ms,62 Mbps,7969 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,154 ms,43 Mbps,5539 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,89 ms,268 Mbps,34304 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,48 ms,466 Mbps,59699 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,144 ms,132 Mbps,16998 kB/s
129.151.244.9,443,129.151.244.9,FR,Paris,中转,158 ms,125 Mbps,16076 kB/s
138.3.254.39,443,138.3.254.39,,colo.txt:Frankfurt,中转,0 ms,129 Mbps,16588 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,160 ms,43 Mbps,5510 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,135 ms,132 Mbps,16896 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,156 ms,41 Mbps,5338 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,146 ms,121 Mbps,15564 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,23 ms,42 Mbps,5494 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,200 ms,128 Mbps,16486 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,177 Mbps,22732 kB/s
144.22.252.124,443,144.22.252.124,BR,S
