中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,115 ms,215 Mbps,27545 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,51 ms,486 Mbps,62259 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,65 ms,507 Mbps,64921 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,24 ms,649 Mbps,83148 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,27 ms,36 Mbps,4733 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,58 ms,484 Mbps,61952 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,1136 Mbps,145408 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,19 ms,68 Mbps,8754 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,434 Mbps,55603 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,75 ms,520 Mbps,66560 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,58 ms,496 Mbps,63488 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,58 ms,8 Mbps,1126 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,63 ms,305 Mbps,39116 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,73 ms,472 Mbps,60416 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,450 Mbps,57651 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,114 ms,48 Mbps,6158 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,152 ms,135 Mbps,17305 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,153 ms,142 Mbps,18227 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,36 ms,83 Mbps,10649 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,77 ms,21 Mbps,2749 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,83 ms,275 Mbps,35225 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,123 ms,220 Mbps,28160 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,126 ms,189 Mbps,24268 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,19 ms,66 Mbps,8470 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,38 Mbps,4868 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,119 ms,204 Mbps,26112 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,128 ms,17 Mbps,2272 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,53 ms,1 Mbps,133 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,143 ms,33 Mbps,4273 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,158 Mbps,20275 kB/s
141.144.207.131,443,2a0b:21c0:100a:1b7:0:726e:ff71:af9d,DE,Frankfurt,隧道,126 ms,205 Mbps,26316 kB/s
