中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,29 ms,960 Mbps,122880 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,30 ms,968 Mbps,123904 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,6 ms,1896 Mbps,242688 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,20 ms,912 Mbps,116736 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,3 ms,912 Mbps,116736 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,19 ms,816 Mbps,104448 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,43 ms,325 Mbps,41676 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,160 ms,128 Mbps,16486 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,39 ms,976 Mbps,124928 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,62 ms,440 Mbps,56422 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,95 ms,48 Mbps,6250 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,66 ms,238 Mbps,30515 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,128 ms,131 Mbps,16793 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,52 ms,383 Mbps,49049 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,97 ms,329 Mbps,42188 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,25 ms,58 Mbps,7452 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,157 ms,171 Mbps,21913 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,96 ms,51 Mbps,6626 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,24 ms,672 Mbps,86118 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,72 ms,48 Mbps,6218 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,26 ms,720 Mbps,92262 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,158 ms,106 Mbps,13619 kB/s
130.162.144.191,443,2a09:bac5:4754:155::22:118,KR,Seoul,隧道,144 ms,43 Mbps,5586 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,72 ms,3 Mbps,485 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,141 ms,154 Mbps,19763 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,252 Mbps,32256 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,174 ms,44 Mbps,5743 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,170 ms,96 Mbps,12288 kB/s
158.178.154.78,443,2a0b:21c0:1007:ca:0:f28a:edf4:45df,DE,Frankfurt,隧道,169 ms,108 Mbps,13824 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,164 ms,27 Mbps,3456 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,150 ms,45 Mbps,5866 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,202 ms,85 Mbps,10956 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,158 ms,43 Mbps,5573 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,160 ms,41 Mbps,5302 kB/s
8.219.80.236,443,8.222.240.96,SG,Singapore,隧道,200 ms,6 Mbps,874 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,154 ms,15 Mbps,1940 kB/s
144.21.41.228,443,2a0b:21c0:100a:1b4:0:7d4e:8f74:a5c5,DE,Frankfurt,隧道,179 ms,116 Mbps,14848 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,82 ms,43 Mbps,5599 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,180 ms,98 Mbps,12595 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,151 ms,44 Mbps,5647 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,165 ms,17 Mbps,2215 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,191 ms,142 Mbps,18227 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,178 ms,3 Mbps,406 kB/s
143.47.186.205,443,2a0b:21c0:100a:1b3:0:150:14dc:3434,DE,Frankfurt,隧道,185 ms,108 Mbps,13824 kB/s
138.2.144.1,443,2606:f240:f00:46c4:0:7292:7b3a:4b14,US,Frankfurt,隧道,190 ms,109 Mbps,14028 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,204 ms,0 Mbps,8 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,149 ms,156 Mbps,19968 kB/s
143.47.183.1,443,2a0b:21c0:100a:1fa:0:2906:3d99:7c35,DE,Frankfurt,隧道,184 ms,101 Mbps,13004 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,156 ms,128 Mbps,16384 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,195 ms,38 Mbps,4973 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,147 ms,106 Mbps,13619 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,188 ms,0 Mbps,91 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,190 ms,20 Mbps,2572 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,191 ms,44 Mbps,5683 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,184 ms,126 Mbps,16179 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,55 ms,292 Mbps,37478 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,200 ms,100 Mbps,12800 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,81 ms,27 Mbps,3537 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,201 ms,101 Mbps,13004 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,176 ms,97 Mbps,12492 kB/s
8.212.48.236,443,47.76.21.114,HK,Hong Kong,隧道,240 ms,60 Mbps,7730 kB/s
8.219.200.145,443,47.236.51.143,SG,Singapore,隧道,201 ms,77 Mbps,9919 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,196 ms,76 Mbps,9849 kB/s
8.219.134.144,443,8.219.96.61,SG,Singapore,隧道,211 ms,77 Mbps,9969 kB/s
8.219.222.248,443,8.219.69.217,SG,Singapore,隧道,182 ms,4 Mbps,613 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,146 ms,148 Mbps,19046 kB/s
141.147.154.214,443,141.147.154.214,JP,Osaka,中转,195 ms,36 Mbps,4722 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,220 ms,83 Mbps,10649 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,147 ms,0 Mbps,85 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,211 ms,100 Mbps,12800 kB/s
149.129.8.215,443,47.88.8.186,4 Mbps,532 kB/s
47.254.87.121,,,隧道,0 ms,null Mbps,null kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,188 ms,40 Mbps,5127 kB/s
47.57.245.232,443,47.89.249.212,US,San Jose,隧道,261 ms,0 Mbps,33 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,87 ms,47 Mbps,6030 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,168 ms,92 Mbps,11878 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,38 ms,1376 Mbps,176128 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,187 ms,15 Mbps,1948 kB/s
8.219.106.227,443,8.219.142.198,SG,Singapore,隧道,182 ms,72 Mbps,9225 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,178 ms,130 Mbps,16691 kB/s
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,461 ms,33 Mbps,4346 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,177 ms,98 Mbps,12595 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,184 ms,37 Mbps,4782 kB/s
146.56.102.55,443,2602:ffe4:407:20da:0:34df:6324:c3c1,SG,Singapore,隧道,208 ms,75 Mbps,9650 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,175 ms,39 Mbps,5057 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,31 ms,10 Mbps,1307 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,12 ms,184 Mbps,23654 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,85 ms,14 Mbps,1830 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,194 ms,66 Mbps,8449 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,207 ms,101 Mbps,13004 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,195 ms,40 Mbps,5121 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,238 ms,1 Mbps,180 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,152 ms,10 Mbps,1306 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,199 ms,42 Mbps,5420 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,170 ms,120 Mbps,15462 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,179 ms,42 Mbps,5400 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,179 ms,15 Mbps,1926 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,156 ms,11 Mbps,1416 kB/s
141.144.193.68,443,2a0b:21c0:100a:1b6:0:e5cd:b31:a138,DE,Frankfurt,隧道,203 ms,106 Mbps,13619 kB/s
168.138.194.74,443,168.138.194.74,JP,Tokyo,中转,171 ms,94 Mbps,12083 kB/s
146.56.46.84,443,2603:c022:8007:a810::dcba,KR,Seoul,隧道,143 ms,41 Mbps,5340 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,180 ms,135 Mbps,17305 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,188 ms,34 Mbps,4466 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,177 ms,31 Mbps,4095 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,296 ms,31 Mbps,4003 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,195 ms,29 Mbps,3837 kB/s
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,176 ms,36 Mbps,4626 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,48 ms,331 Mbps,42393 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,199 ms,0 Mbps,121 kB/s
8.219.122.242,443,47.245.127.33,SG,Singapore,隧道,213 ms,17 Mbps,2176 kB/s
193.123.56.137,443,2a0b:21c0:100a:1fa:0:9c0b:58fe:6f33,DE,Frankfurt,隧道,185 ms,117 Mbps,15052 kB/s
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,195 ms,118 Mbps,15155 kB/s
8.219.218.135,443,47.245.127.33,SG,Singapore,隧道,174 ms,12 Mbps,1562 kB/s
8.212.44.95,443,47.76.21.103,HK,Hong Kong,隧道,262 ms,57 Mbps,7386 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,19 ms,69 Mbps,8945 kB/s
8.210.58.6,443,8.210.58.6,HK,Hong Kong,中转,251 ms,16 Mbps,2109 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,49 ms,0 Mbps,57 kB/s
8.218.73.41,443,8.218.73.41,HK,Hong Kong,中转,1282 ms,0 Mbps,25 kB/s
47.57.14.118,443,47.254.95.194,US,San Jose,隧道,279 ms,0 Mbps,17 kB/s
