中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,45 ms,338 Mbps,43315 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,250 Mbps,32051 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,92 ms,284 Mbps,36352 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,87 ms,350 Mbps,44851 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,228 Mbps,29286 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,87 ms,42 Mbps,5414 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,21 ms,53 Mbps,6865 kB/s
35.197.23.75,443,35.212.152.186,US,Seattle,隧道,88 ms,374 Mbps,47923 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,65 ms,47 Mbps,6142 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,12 ms,66 Mbps,8563 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,24 ms,65 Mbps,8435 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,56 ms,603 Mbps,77209 kB/s
35.230.79.26,443,35.212.152.186,US,Seattle,隧道,71 ms,334 Mbps,42803 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,71 ms,360 Mbps,46182 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,95 ms,40 Mbps,5238 kB/s
34.82.76.253,443,34.169.18.214,US,Seattle,隧道,83 ms,375 Mbps,48025 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,9 ms,34 Mbps,4468 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,284 Mbps,36352 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,3 ms,32 Mbps,4118 kB/s
130.61.23.77,443,130.61.23.77,227 Mbps,29081 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,92 ms,284 Mbps,36454 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,95 ms,284 Mbps,36454 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,21 ms,53 Mbps,6857 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,93 ms,22 Mbps,2843 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,218 ms,34 Mbps,4387 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,111 ms,49 Mbps,6336 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,111 ms,37 Mbps,4852 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,116 ms,230 Mbps,29491 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,182 ms,106 Mbps,13619 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,23 ms,58 Mbps,7524 kB/s
144.21.56.205,443,2606:f240:f00:83a7:0:614a:ca2a:af4c,US,Frankfurt,隧道,114 ms,195 Mbps,24985 kB/s
141.148.233.183,443,2a0b:21c0:100a:1b1:0:4069:72f6:4173,DE,Frankfurt,隧道,92 ms,212 Mbps,27238 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,67 ms,2 Mbps,294 kB/s
144.21.41.185,443,2a0b:21c0:100a:1b5:0:90fb:b93e:4492,DE,Frankfurt,隧道,92 ms,249 Mbps,31948 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,217 ms,88 Mbps,11366 kB/s
