中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,299 Mbps,38297 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,235 Mbps,30105 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,66 ms,334 Mbps,42803 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,75 ms,42 Mbps,5396 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,21 ms,690 Mbps,88371 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,70 ms,304 Mbps,38912 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,302 Mbps,38707 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,36 ms,600 Mbps,76902 kB/s
192.9.138.241,443,192.9.138.241,US,254 Mbps,32563 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,336 Mbps,43008 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,245 Mbps,31436 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,64 ms,23 Mbps,3060 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,39 ms,88 Mbps,11264 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,64 ms,349 Mbps,44748 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,83 ms,49 Mbps,6308 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,67 ms,313 Mbps,40140 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,67 ms,149 Mbps,19148 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,69 ms,324 Mbps,41472 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,81 ms,252 Mbps,32256 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,86 ms,52 Mbps,6686 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,85 ms,276 Mbps,35328 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,50 ms,88 Mbps,11264 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,100 ms,28 Mbps,3632 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,214 Mbps,27443 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,72 ms,35 Mbps,4605 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,255 Mbps,32665 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,49 ms,550 Mbps,70451 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,51 ms,5 Mbps,747 kB/s
129.159.244.64,443,2a0b:21c0:1007:1c9:0:e9c5:d351:92f8,DE,Frankfurt,隧道,88 ms,243 Mbps,31129 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,64 ms,51 Mbps,6639 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,96 ms,703 Mbps,90009 kB/s
138.3.254.39,443,138.3.254.39,,colo.txt:Frankfurt,中转,0 ms,180 Mbps,23040 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,152 ms,109 Mbps,14028 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,172 ms,215 Mbps,27545 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,191 ms,86 Mbps,11059 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,50 ms,409 Mbps,52428 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,83 ms,42 Mbps,5490 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,83 ms,39 Mbps,5017 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,86 ms,249 Mbps,31948 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,99 ms,48 Mbps,6146 kB/s
132.226.1.227,443,2603:c021:8001:801:f494:88cb:3117:e10,JP,Tokyo,隧道,219 ms,53 Mbps,6881 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,210 ms,32 Mbps,4149 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,317 ms,33 Mbps,4304 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,216 ms,58 Mbps,7458 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,224 ms,2 Mbps,279 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,190 ms,72 Mbps,9285 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,161 ms,2 Mbps,302 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,190 ms,39 Mbps,5046 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,86 ms,244 Mbps,31232 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,190 ms,34 Mbps,4379 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,221 ms,39 Mbps,5100 kB/s
152.70.88.98,443,2a09:bac5:4751:1a14::299:19,KR,Seoul,隧道,207 ms,33 Mbps,4286 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,221 ms,63 Mbps,8183 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:100,KR,Seoul,隧道,198 ms,72 Mbps,9333 kB/s
130.61.170.78,443,130.61.170.78,DE,Hong Kong,中转,88 ms,80 Mbps,10240 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,228 ms,63 Mbps,8098 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,204 ms,0 Mbps,27 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,209 ms,23 Mbps,2995 kB/s
204.110.220.3,443,204.110.220.79,US,,隧道,86 ms,217 Mbps,27852 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,39 ms,633 Mbps,81100 kB/s
193.123.81.105,443,193.123.81.105,AE,Paris,中转,189 ms,31 Mbps,4044 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,85 ms,124 Mbps,15974 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,88 ms,278 Mbps,35635 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,205 ms,7 Mbps,988 kB/s
146.56.170.101,443,128.14.110.206,US,Singapore,隧道,250 ms,54 Mbps,6937 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,86 ms,148 Mbps,18944 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,26 ms,576 Mbps,73830 kB/s
103.137.63.3,443,61.224.119.193,TW,,隧道,207 ms,76 Mbps,9807 kB/s
54.203.85.46,443,204.110.220.174,US,,隧道,85 ms,252 Mbps,32256 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,219 ms,0 Mbps,50 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,115 ms,244 Mbps,31334 kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,91 ms,245 Mbps,31436 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,101 ms,240 Mbps,30720 kB/s
