中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,3 ms,665 Mbps,85196 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,38 ms,259 Mbps,33177 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,413 Mbps,52940 kB/s
138.2.225.254,443,138.2.225.254,US,San Jose,中转,45 ms,1536 Mbps,196608 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,22 ms,840 Mbps,107520 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,24 ms,2 Mbps,328 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,6 ms,1528 Mbps,195584 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,24 ms,57 Mbps,7385 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,12 ms,2056 Mbps,263168 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,56 ms,88 Mbps,11366 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,62 ms,256 Mbps,32870 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,25 ms,408 Mbps,52224 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,137 ms,256 Mbps,32870 kB/s
150.230.34.116,443,150.230.34.116,US,San Jose,中转,57 ms,1008 Mbps,129024 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,23 ms,656 Mbps,84070 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,21 ms,1640 Mbps,209920 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,24 ms,864 Mbps,110592 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,81 ms,4 Mbps,603 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,131 ms,90 Mbps,11571 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,324 Mbps,41574 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,142 ms,134 Mbps,17203 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,30 ms,324 Mbps,41472 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,107 ms,47 Mbps,6093 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,150 ms,103 Mbps,13209 kB/s
130.61.23.77,443,130.61.23.77,83 Mbps,10649 kB/s
130.61.23.77,,,隧道,0 ms,null Mbps,null kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,161 ms,102 Mbps,13107 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,222 ms,316 Mbps,40550 kB/s
47.74.13.33,443,47.74.13.33,JP,Tokyo,中转,113 ms,168 Mbps,21606 kB/s
140.238.23.148,443,2a09:bac1:3f00:90::299:53,KR,Seoul,隧道,133 ms,40 Mbps,5139 kB/s
146.56.43.53,443,146.56.43.53,KR,Seoul,中转,164 ms,135 Mbps,17305 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,164 ms,36 Mbps,4631 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,143 ms,44 Mbps,5651 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,170 ms,180 Mbps,23142 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,157 ms,107 Mbps,13721 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,130 ms,38 Mbps,4962 kB/s
157.254.252.198,443,157.254.252.198,JP,Tokyo,中转,107 ms,192 Mbps,24678 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,155 ms,120 Mbps,15462 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,235 ms,118 Mbps,15155 kB/s
138.2.105.213,443,138.2.105.213,SG,Singapore,中转,170 ms,104 Mbps,13414 kB/s
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,148 ms,41 Mbps,5323 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,157 ms,96 Mbps,12390 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,156 ms,102 Mbps,13107 kB/s
168.138.184.172,443,168.138.184.172,SG,Singapore,中转,171 ms,85 Mbps,10956 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,143 ms,36 Mbps,4673 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,168 ms,42 Mbps,5407 kB/s
130.162.220.50,443,2a0b:21c0:1007:1cb:0:e00c:61c9:c8ec,DE,Frankfurt,隧道,157 ms,102 Mbps,13107 kB/s
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,147 ms,40 Mbps,5201 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,160 ms,115 Mbps,14745 kB/s
