中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,292 Mbps,37478 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,31 ms,674 Mbps,86323 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,89 ms,217 Mbps,27852 kB/s
129.146.46.164,443,129.146.46.164,180 Mbps,23040 kB/s
129.146.46.164,,,隧道,0 ms,null Mbps,null kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,69 ms,286 Mbps,36659 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,45 ms,491 Mbps,62873 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,326 Mbps,41779 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,81 ms,45 Mbps,5804 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,7 ms,132 Mbps,16998 kB/s
130.61.23.77,443,130.61.23.77,182 Mbps,23347 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,74 ms,267 Mbps,34201 kB/s
158.101.220.67,443,2a0b:21c0:100a:1b2:0:33a8:c4c4:8247,DE,Frankfurt,隧道,88 ms,216 Mbps,27750 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,65 ms,43 Mbps,5541 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,67 ms,344 Mbps,44134 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,81 ms,1 Mbps,219 kB/s
193.123.177.168,443,2a0b:21c0:1007:cb:0:3725:30cf:9879,DE,Frankfurt,隧道,96 ms,161 Mbps,20684 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,84 ms,588 Mbps,75264 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,66 ms,343 Mbps,43929 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,89 ms,250 Mbps,32051 kB/s
141.147.88.123,443,2606:f240:f00:46c4:0:9996:43c2:e32b,US,Frankfurt,隧道,93 ms,131 Mbps,16793 kB/s
130.61.39.13,443,2603:c020:801c:9969:5536:e049:b1aa:bdf2,DE,Frankfurt,隧道,96 ms,243 Mbps,31129 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,93 ms,232 Mbps,29696 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,81 ms,244 Mbps,31334 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,81 ms,246 Mbps,31539 kB/s
129.146.7.98,443,2a09:bac5:60ea:1846::26b:52,US,Los Angeles,隧道,74 ms,76 Mbps,9791 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,191 ms,85 Mbps,10956 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,89 ms,48 Mbps,6235 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,158 ms,116 Mbps,14950 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,149 ms,224 Mbps,28774 kB/s
193.123.34.7,443,2a0b:21c0:100a:1b2:0:4445:30ae:928e,DE,Frankfurt,隧道,96 ms,124 Mbps,15872 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,85 ms,45 Mbps,5761 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,92 ms,42 Mbps,5417 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,228 Mbps,29286 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,90 ms,221 Mbps,28364 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,251 Mbps,32153 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,94 ms,252 Mbps,32256 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,23 ms,46 Mbps,5935 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,225 ms,2 Mbps,318 kB/s
150.230.112.222,443,2a0b:21c0:100a:1f9:0:d7a9:7aa1:6a8,DE,Frankfurt,隧道,98 ms,233 Mbps,29900 kB/s
141.147.28.1,443,98.98.166.178,US,Frankfurt,隧道,97 ms,207 Mbps,26521 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,98 ms,125 Mbps,16076 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,185 ms,33 Mbps,4318 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,189 ms,88 Mbps,11366 kB/s
141.147.15.114,443,2a0b:21c0:1007:1c7:0:d8a7:9939:c02,DE,Frankfurt,隧道,97 ms,216 Mbps,27648 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,163 ms,53 Mbps,6874 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,199 ms,74 Mbps,9517 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,186 ms,64 Mbps,8197 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,189 ms,39 Mbps,5114 kB/s
155.248.187.211,443,155.248.187.211,JP,Tokyo,中转,208 ms,37 Mbps,4815 kB/s
193.123.39.134,443,2a0b:21c0:1007:1ca:0:f91a:c46:2373,DE,Frankfurt,隧道,152 ms,171 Mbps,21913 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,111 ms,19 Mbps,2477 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,164 ms,11 Mbps,1459 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,211 ms,35 Mbps,4590 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,195 ms,80 Mbps,10342 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,223 ms,65 Mbps,8406 kB/s
193.123.235.59,443,193.123.235.59,KR,Seoul,中转,215 ms,87 Mbps,11161 kB/s
193.122.117.159,443,193.122.117.159,KR,Seoul,中转,192 ms,12 Mbps,1587 kB/s
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,187 ms,83 Mbps,10649 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,192 ms,43 Mbps,5562 kB/s
8.222.205.210,443,47.245.125.52,SG,Singapore,隧道,237 ms,56 Mbps,7212 kB/s
8.219.199.136,443,47.245.84.175,SG,Singapore,隧道,238 ms,58 Mbps,7467 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,238 ms,1 Mbps,130 kB/s
8.219.197.73,443,8.222.222.65,SG,Singapore,隧道,238 ms,57 Mbps,7320 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,183 ms,84 Mbps,10752 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,223 ms,58 Mbps,7459 kB/s
132.226.10.37,443,2602:ffe4:407:20d9:0:ec3e:6790:3739,SG,Singapore,隧道,232 ms,64 Mbps,8232 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:138,KR,Seoul,隧道,194 ms,85 Mbps,10956 kB/s
64.110.79.188,443,64.110.79.188,KR,Seoul,中转,213 ms,67 Mbps,8608 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,184 ms,88 Mbps,11366 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,183 ms,88 Mbps,11366 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,217 ms,41 Mbps,5361 kB/s
8.219.140.157,443,8.222.222.65,SG,Singapore,隧道,238 ms,56 Mbps,7204 kB/s
47.245.96.7,443,47.236.51.143,SG,Singapore,隧道,238 ms,57 Mbps,7353 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,192 ms,35 Mbps,4503 kB/s
155.248.175.87,443,2602:ffe4:407:20d9:0:b8f7:1b36:6e33,SG,Singapore,隧道,230 ms,60 Mbps,7788 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,196 ms,76 Mbps,9823 kB/s
8.222.222.152,443,47.236.51.143,SG,Singapore,隧道,238 ms,31 Mbps,4021 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,192 ms,61 Mbps,7874 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,98 ms,14 Mbps,1907 kB/s
132.226.236.15,443,2602:ffe4:407:21d9:0:3f19:55e7:bfbc,SG,Singapore,隧道,262 ms,43 Mbps,5617 kB/s
47.91.29.136,443,47.91.29.136,JP,Tokyo,中转,160 ms,93 Mbps,11980 kB/s
193.123.81.105,443,193.123.81.105,AE,Paris,中转,185 ms,45 Mbps,5795 kB/s
129.154.60.48,443,129.154.60.48,KR,Seoul,中转,193 ms,79 Mbps,10137 kB/s
149.129.8.215,443,47.88.8.186,2 Mbps,332 kB/s
47.57.245.232,443,47.88.7.145,US,San Jose,隧道,271 ms,2 Mbps,344 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,46 ms,60 Mbps,7758 kB/s
144.22.252.124,443,144.22.252.124,BR,S
